,Titles,Links,Post_Time,Author,Content
15,Disrupted sleep and dreams after covid,https://patient.info/forums/discuss/disrupted-sleep-and-dreams-after-covid-793184,2022-11-16T17:43+00:00,"
                                ben34157
                            ","Hi guys I tested positive for covid back in late August, my symptoms were a sore throat then a dry persistent cough but thankfully nothing serious. But then within a few days I began to experience insomnia, taking a while to fall asleep and very vivid dreams including nightmares when I do sleep. I've not got any of the covid symptoms anymore but the insomnia and dreams when I do sleep is persisting. I am getting enough sleep to get by on but it can be a bit annoying as I wake up when my dreams end this can be 1am, 2am, 3am etc, it's a few times a night. I'm not sleeping right through like I used to. Did anyone else have sleep problems after getting covid? 
Thanks. Ben."
16,Flu jab - how soon after heart attack?,https://patient.info/forums/discuss/flu-jab-how-soon-after-heart-attack--793028,2022-11-13T05:26+00:00,"
                                caroljoyce
                            ","Three weeks ago I had a mild heart attack.  I also had pneumonia at the same time.

Will I be able to have the flu jab this year & how long after my heart attack? 
At the moment I am not feeling very well due to my chesty pneumonia cough.
 
 Also would it be a good idea to have the pneumonia jab?
"
17,What is the most efficient way to avoid covid-19?,https://patient.info/forums/discuss/what-is-the-most-efficient-way-to-avoid-covid-19--784928,2022-11-11T16:27+00:00,"
                                aaryan31513
                            ","Hello everyone! I'm a 24 year old male. I have tried to avoid covid-19 as much as I could but still got it last year in April. I never got covid in 2020 and 2022. 

I got covid during that time because I was travelling in a public transport inspite of wearing mask (cloth) and washing hands. I was also not eligible for vaccines. Now I am double vaxxed (got 2nd dose in Nov 10) waiting for booster.

My symptoms were severe as I had 12 day fever, lung tightness and very low appetite. Many times my oximeter readings started from 91, 92 or 93 but settles at 94 or 95. 

I am fed up with precautions. I have to go to college and board public transport. N95 masks are expensive and cannot be reused. Cloth masks don't protect but it is affordable and cheap. I don't want to get seriously ill from covid.

I want to know more efficient precautions against covid-19. "
18,covid,https://patient.info/forums/discuss/covid-791882,2022-11-11T11:00+00:00,"
                                sylvia73
                            "," I am 87 years old and have had covid for  10 weeks, I have got over the coughing and sore throat, but  really bad lethargy, I am usually quite fit for my age, but this  tiredness is on going  I am so weak I can only spend about 15 minutes on my feet and then have to sit down. Any help would be much appreciated."
19,How long can the Covid 19 antibodies be detected in one's blood sample?,https://patient.info/forums/discuss/how-long-can-the-covid-19-antibodies-be-detected-in-one-s-blood-sample--792254,2022-10-25T23:42+00:00,"
                                compiler
                            ",How  long can the Covid 19 antibodies be detected in one's blood sample?
20,Long Covid haul,https://patient.info/forums/discuss/long-covid-haul-788904,2022-10-21T03:22+00:00,"
                                stephanie30239
                            ","Im six months post COVID 19 and IM still suffering from REALLY bad breathing problems chest pain, brain fog , my body feel sore everywhere I touch it.
I never had health problems besides sinusitis. I did have nose surgery 10 days prior to getting COVID , so my nose didn't get a chance to heal on its only before this horrible virus attacked me. what i got was a bad case of pneumonia, plural infusion and inflammation of my bronchiolar tube. I was very health exercised regular never lost my breath doing any cert of exercise without recovery shortly after. DRS put me on 3 different inhalers with zero relief allergy medicines acid reflex been treat few times with steriods, with almost zero improvement. i decide to look for a second opinion pulmonologist after seeing 2 at Kaiser who say i will get better over time not to worry. SO in the mean time i cant breath and have pain 24/7 on left side that diesnt go away with pain medicine. I cant function with my normal life style. I was going through-a bad case of depression but i have been put on medication for it now too. The outside opinion Dr said that i need to have further testing to find out what is affecting me because. That they can perform a broncsopy to do a biopsy to run test to see what infection virus/or bacterial
might me causing the problems. I'm now sensitive to everything like perfumes candles etc, before nothing bothered me. Even the fast acting inhaler don't help me. Kaiser dr mentioned he thinks its something besides covid but hasn't tried to help figure it out. HE thinks i can go back to work like this, when I struggle all day."
21,Inaccurate oxygen level measured for darker skin color,https://patient.info/forums/discuss/inaccurate-oxygen-level-measured-for-darker-skin-color-791909,2022-10-18T00:57+00:00,"
                                mx123
                            ","Hi!

For people of color that went to the doctor/hospital for severe COVID symptoms such as loss of breath/low oxygen level, what was that experience like? What type of treatment were you able to receive and did it help? 

Lots of research has shown that pulse-oximeters overestimate the level of oxygen in blood for those with darker skin colors, so I was wondering if people knew about this inequity in healthcare or if people experienced it but did not realize. "
22,Shoulder Neuropathy from Covid?,https://patient.info/forums/discuss/shoulder-neuropathy-from-covid--791856,2022-10-17T03:20+00:00,"
                                Dee58305
                            ","Like many others, I have had Covid three times now. The first time was in Jan 2021 and it lasted a month. I lost the sense of smell and taste for almost a month, couldn't breathe through my nose for over a week and stayed moderately congested for 2 additional weeks, had consistent fevers, chills, headaches and coughing for six days straight, couldn't eat for a week (my stomach hurt so badly, but I couldn't keep anything down and was too nauseous to try to eat), had a persistent sore throat for a week, and was dehydrated. However, the worst symptom was severe shoulder pain. I mean intense, felt like I was on fire, shoulder pain in both shoulders. My partner attempted to massage them for me once, but the slightest touch put me in tears. They burned so badly! The intensity lasted about 4 days, and slowly departed over the course of 2 weeks. I did go to the ER in the beginning (around day 2) because I couldnt breathe well and the shoulder pain was intense, but they said my O2 levels were good, my lungs were clear, and to go home and get rest. They prescribed Tessalon Pearls and Amoxicillin, and said to take OTC pain relievers for the shoulder pain.  

Thereafter, I received 2 Moderna vaccinations, wore masks every day, used sanitizer and washed my hands regularly, and didn't go in public other than to pick up my grocery orders to avoid going in public places- it was work and home. Despite those efforts, in Dec 2021, I got Covid again. That time around it was more like the flu. I did experience body aches that time, but it was mild and not general to one location. I did not get the boosters because I developed myocarditis after the 2 Moderna vaccinations and it was recommended by my doctor to wait until more findings come out to avoid more stress on my heart in case I developed the condition again with the boosters. After a week of Covid #2, I was fine. 

Despite the regulations lifting thereafter, I maintained wearing the masks daily, limited my outings to parks, trails, and remote locations with my kids despite my family and friends unwavering pleas to go out (they think Im paranoid), still picked up grocery orders, continued to wash my hands and use sanitizer regularly, etc., and as of this Friday, I have developed Covid again. I have a constant sore throat, persistent fevers/chills/headaches, nausea/vomiting/diarrhea (sorry), difficulty sleeping, severe fatigue (but cant sleep!!!), and body aches. The shoulder pain is back and I am on day 3 as I type this. It is not as intense as the first time, but it is moderate, and the doctor I saw couldnt explain it or diagnose the issue. They offered pain meds, but I wont take them. I want to treat the cause, not the symptom. I cant find much online about it and the closest thing I can find is related to shoulder neuropathy (Im not even sure if that is the correct terminology). I am wondering if anyone else has experienced this, and if so, what are your doctors saying about the condition? My only medical condition prior to any of this is hypothyroidism which runs in my family, and yes, unfortunately, I am a smoker.

Does anyone have any information on this symptom? Is it common? Will it go away? Are there studies that it could be longer lasting or damaging in the long run? I can't find too much on it and I know studies are still ongoing as Covid is new for us all, but the shoulder pain at times is intense. It truly feels like they are on fire- a burning sensation from the inside out. Hot to the touch, can't touch the shoulders at times as the pain gets intense, and Aleve, Tylenol, and ice/hot packs are ineffective. Im just drained and afraid of what is to come as reports coming out are now stating increased risks to health each time we get the virus, and it seems no matter the precautions taken, reinfection is inevitable- at least for me.  Any information anyone can share or provide would be greatly appreciated! The doctors here wont run tests on it, and while this bout is not as bad as the first time, the pain at times is unbearable. Thank you in advance!"
23,"In Florida, in hospital, nothing given for covid",https://patient.info/forums/discuss/in-florida-in-hospital-nothing-given-for-covid-791204,2022-09-28T04:41+00:00,"
                                sher85689
                            ","Last week, I caught covid and have no idea how. I don't go out much. I could not stop throwing up and finally went to the ER at our local hospital. They gave me four meds through IV that did finally settle my stomach. They admitted me and I was in there for three days. They gave me my regular medications, but NOTHING for the actual covid, no remdesivir, no z-pack, no antivirals, not one thing. They did give me three shots in the stomach so I wouldn't get blood clots. I asked for something for the covid and at least a decongestant. I was so tired but couldn't sleep because I felt like my body had just shut down. They said that in the state of Florida they let it run its course and their course of treatment is ""management of symptoms."" I couldn't believe this. NOTHING for the covid. Can anybody tell me why not? I'm home now and still feel awful and fun over. I've read how people go to the hospital and are able to go home the next day feeling alright. They sent me home with some prescriptions, but again, NOTHING for the covid. Why is there no treatment for covid in Florida???"
24,Covid for 4 weeks & still bed ridden. Anyone else had prolonged severe illness without hospitalization,https://patient.info/forums/discuss/covid-for-4-weeks-still-bed-ridden-anyone-else-had-prolonged-severe-illness-without-hospitalization-734070,2022-09-15T15:52+00:00,"
                                Res35
                            ","Hi,

I've had Covid19  for 4 weeks and if I had the energy I'd be tearing my hair out.
I've had 2 sets of prohylactic antibiotics to safeguard against bacterial infections, my temperature has been up and down but never higher than 38 the entire illness.
I've had severe neuropathy during the illness and some kind of night seizures accompanying the other more well publicised symptoms that mean my sleep is terrible also.

I went to hospital Day 14  after a week of seriously thinking I'm on death's door and my blood oxygen was good enough to be sent home for follow up at the Covid Hubs where they basically just take temperature, pulse and oxygen levels.
I was prescribed a 2nd course of antibiotics there as my temperature was still up and they are checking in on me every few days.

Meanwhile I am having one better day, then another terrible day, then a better day then a worse day..But 'better' is still bed ridden, just means I can breath well enough and not too dizzy to make myself my own cup of tea, have a shower and engage in some small talk with my family. 
Everytime I have a good few hours I think, that must be me getting well now, but no, 4 weeks later and the last 24 hrs my breathlessness has been worse than it was for the previous 5 days..Am about ready to shoot myself.
Is there anyone else that's experienced being so ill with this virus outside of an ICU setting where it's carried on this long?
Even ICU patients are recovering in 3-6weeks .
Cannot understand why I'm not getting well yet.
I have no underlying health issues and I'm in my 30s. 
I don't know if I still have Covid or if this is post viral inflammation and fatigue..There is no way of knowing as they are not testing community cases. Every doctor just says it's definitely Covid but I have no idea if I've passed the peak of the illness or if i should still be worried it could get worse. 
Just feel it's going on forever.
Be great to know if there's any non hospital stories of people being sick, as in still unable to do a thing this length of time. 
Thanks! "
25,"Lingering COVID , feel ok and next day feel I'll. What's going on? ",https://patient.info/forums/discuss/lingering-covid-feel-ok-and-next-day-feel-i-ll-what-s-going-on--790310,2022-09-05T16:55+00:00,"
                                jeanette21981
                            ","I'm on day 11 of COVID and not as far forward in terms of recovery as i thought i would be, any thoughts you can share would be very welcome. 
My elderly mum who passed the virus to me,  has recovered before me. I'm 58 and pretty healthy. Had the usual symptoms for first week or so but since then 
I've often feel ok on a morning but by early evening I feel clammy and am bathed in persperation. I've felt breathless after mild exertion such as going upstairs which is crazy. 
Im vaccinated and boosted December 21. 
I'm doing bits of work from my laptop but finding it hard to focus, had to make excuses to people and cut short remote meetings as I've started losing attention after about half an hour. 
Took my blood pressure yesterday and my pulse registered 57 which seems low, I'm not an athlete. Using an oximeter and registered 94 over last few days. 
Feel like such a wuss, has anyone else been through this same set of symptoms? Im due to attend a whole day conference ehich involves a bit of a drive and being in a group of up to 100 people. Not sure about driving and worried I'll catch it again, am I being realistic or just pessimistic? Thanks for any ideas  "
26,severe shoulder/breast/armpit pain 6 weeks after covid,https://patient.info/forums/discuss/severe-shoulder-breast-armpit-pain-6-weeks-after-covid-789418,2022-09-03T12:10+00:00,"
                                ejc
                            ","Is anyone suffering anything similar to me? I was ok before covid , bit of occasional lest shoulder pain but that was all. Now have this awful pain & taking stronger painkillers but still just takes the edge off the pain. I'm wondering if this is long covid ? 
So worried & confused. I also have health anxiety which is making me believe I have cancer etc.  
Any ideas anyone? "
27,"Nausea, dizziness and weird anxiety feeling ",https://patient.info/forums/discuss/nausea-dizziness-and-weird-anxiety-feeling-789917,2022-08-28T13:01+00:00,"
                                dav42hb
                            ","I got covid two weeks ago and after a fairly quick resolution to bad fever etc I feel like I ought to be getting better (when compared to my experience of flu). However I'm stuck in limbo with a general feeling of being ""unwell"" (sometimes nausea, light headedness and a weakness in the elbow). It also feels like some s sort of physical anxiety feeling. I don't feel consciously anxious but my body does. It's very frustrating as don't feel well enough to work but I know I won't get any real support unless this carries on for more than 3 months. "
28,COVID 3rd time within 9 months ,https://patient.info/forums/discuss/covid-3rd-time-within-9-months-789075,2022-08-25T10:18+00:00,"
                                sarah78104
                            ","Hi,
I'm wondering if anyone's had similar experience.

This is the third time I've fallen ill with Covid .( within 9 monts)
I have 2 vaccinations( Phizer, the most recent one received Sep 21)
The first time I got infected was February this year while being on holiday in Tenerife. I was actually climbing mount Teide ( over 3000m) ,and i was feeling quite out of breath but i was sure it is just reaction to high altitude. When i came back to the UK i developed fatigue and headaches.Covid test was positive. Same for my husband. Symptoms weren't too bad and i continued working ( from home)
In May we travelled to Peru and Chile. whilst being in Cusco( altitude 3400) i started to feel very light headed and out of breath. I was taken to the hospital and was diagnosed with altitude sickness, given oxygen and medicine.But didn't get much better. Covid test at rhat point was negative .Arrived in Chile and immediately fell ill with a cold .I had fever,cough, headaches and positive Covid. Once i recovered from that i got a stomach issues .I couldn't eat anything, felt nauseous, fatigued .Have not been feeling very well since then.Last week we went to Ireland to friend's wedding and decided to extend this trip to do some climbing which we love. Straight after the wedding i had noticed a little bit itchy throat which i blamed on AC , I had covid twice this year so didn't even consider it. And it wasn't anything big. so we climbed the highest mountain in Ireland( only over 1000m) Then it started to get worse.Developed sore throat, difficulty breathing, extreme fatigue ,runny nose and couldn't sleep .Once back home, did the Covid test which came back positive. This time i can't work or do any simple tasks.Even walking to the toilet is difficult. 
My husband had negative test.
I'm 35 years old female. I'm not overweight ( I'm slightly underweight).
suffer from mild asthma,dust allergy. I do have anxiety and OCD also suffer from insomnia.
I have done some health checks and tests after the second COVID and they all came back ok.
But i feel that I'm getting weaker and keep catching viruses recently
Before Covid i have never had any viruses,colds or anything like it .
I understand that this is not a doctor's office, but maybe someone has had a similar experience?
thanks"
29,ABSOLUTELY TERRIFIED OF KIDNEY FAILURE IF I GET COVID BECAUSE I HAVE KIDNEY DISEASE,https://patient.info/forums/discuss/absolutely-terrified-of-kidney-failure-if-i-get-covid-because-i-have-kidney-disease-789355,2022-08-17T17:48+00:00,"
                                carla09192
                            ","I have just found out that Covid is causing many to go into kidney failure that have kidney disease and there are even stories of people who didn't have kidney disease have had kidney injury and kidney failure due to Covid.

I have kidney disease and I invited my children and grandson for my husband's birthday this weekend and I'm so regretting it because I'm so scared because they aren't careful. My son has a grand opening as well Saturday in our city for something he invested in. 

I'm also going through a medication withdrawal so I'm more anxious than I have ever been in my life. I don't know if I should just wear a mask around everyone but what do I do at a restaurant?

I would love your thoughts, reccomendations and if you have had Covid and Kidney Disease what happened to your kidney after Covid if you know? "
30,sharon clare,https://patient.info/forums/discuss/sharon-clare-788036,2022-07-22T13:49+00:00,"
                                sharon11405
                            ","I am 10 weeks post covid now with some breathing difficulties ( not sure of cause yet) seeing an ENT specialist and diagnosed rhinitus so far( inflammed nose-narrowed nasal passageways ) waiting for ct scan results for sinuses . Symptoms now are congested nose ,some headaches, runny nose after food/exercise (runny nose and post nasal drip have lessened due to nasal spray - dymista) some difficulty breathing on waking ,going to bed and occasionally on exercise. Fully fit and healthy before covid -no breathing problems ever .Any suggestions as I am really worried about my breathing ! I have tried resting more at times and sleeping sitting more upright, eating slowly to avoid breathlessness and nothing seems to stop these symptoms which vary a lot from hour to hour and day to day.I expected to recover from covid easily as I have never had any health problems at all in 51 years ( 3 covid vaccinations) no medical history of any other conditions and fit and healthy working out 6-7 days a week for the last 17.5 years working in the fitness industry.I presume my symptoms are linked to covid as I did not experience them before this.I need a  lot of help to get me through this - I do not want to be dismissed as just another case of rhinitus and left to suffer with a nasal spry when there is so much more involved in this .Any help /advice from personal /medical experience welcome thank you!"
31,How long after COVID til I can be re-infected?,https://patient.info/forums/discuss/how-long-after-covid-til-i-can-be-re-infected--787725,2022-07-15T21:58+00:00,"
                                acorley
                            ","Hi all,

I tested positive on 5th July, second time I've had COVID, last was November 2020. I'm triple jabbed but have still been very ill this time from COVID.
With the way the cases are here in England, I can only assume that I have contracted the BA.4 or BA.5 Omicron variant.

I was just wondering, with these new variants evading immunity from previous infections, does anyone know how long it could be until I could be re-infected? I'm supposed to be taking a flight this Sunday and I'm still very skeptical especially after I've been so unwell."
32,"7 weeks after diagnosis, feeling worse than ever ",https://patient.info/forums/discuss/7-weeks-after-diagnosis-feeling-worse-than-ever-772998,2022-07-13T17:34+00:00,"
                                patrick98622
                            ","Hello all,

I was diagnosed with Covid in mid-August 2021. Overall, I had a fairly easy go of it. It took me a little over 3 weeks to test negative ( I only know this because my place of employment required me to submit a negative test to return to work). Anyway, while I was positive with the virus, my main symptoms were coughing fits, low-grade fever, fatigue, and feelings of anxiety.

Fast forward to now, I'm feeling absolutely horrible. I've had a headache around my left eyebrow/temple area every single day for over a month.  Sometimes it's minor and passes quickly, sometimes it's very debilitating and I'm bedridden with a pulsating headache for hours/days. But not a day has gone by where I haven't felt some pressure in my head. Also, occasionally I feel ""twitching"" in my legs, hands and fingers. Feels almost like I'm going to have an anxiety attack. 

If it's not a headache or twitching/anxiety bringing me down, it's extreme fatigue. My appetite is also random. Some days I'm not hungry at all and don't eat all day, other days I'm insatiable and can't stop eating. But I haven't had a 100% good day in months. 

Has anyone else had a similar experience? If so, what are you doing to help alleviate these symptoms? I started taking magnesium oxide supplements for the headaches yesterday, hoping that takes effect soon. I also started drinking ginger tea a few days ago which seems to be helping with the anxiousness. Other than that, I spend most of my time laying in bed trying to relax and hoping I feel better... It's not fun.

Any advice someone can offer will be greatly appreciated. Thanks in advance"
33,COVID 19 long term symptoms brain fog,https://patient.info/forums/discuss/covid-19-long-term-symptoms-brain-fog-787586,2022-07-13T14:26+00:00,"
                                andre82825
                            ","Hi.  I caught the covid in Mid April.  After 3 months, i still have some brain fog, specially in the morning.  Does anyone has the long term symptoms?  

Thanks for your help
"
