,Titles,Links,Author,Content
10,When plans change because of health issues. How do you cope?,https://connect.mayoclinic.org/discussion/when-plans-change-because-of-health-issues-how-do-you-cope/,"Ginger, Volunteer Mentor @gingerw","As a society, we look forward to our vacations, or trips, or social outlets and activities. What happens when we have to modify or cancel those plans, because of a health concern, or our own illness?"
11,Anyone else experience Weight Gain with long COVID?,https://connect.mayoclinic.org/discussion/weight-gain-3/,RMS @rinadbq,I have had ~30 pound weight gain since November 2020 when I initially had COVID. It seems disproportionate to my calorie intake. Any one else with this?
12,Post Covid sweating: Is this common for others too?,https://connect.mayoclinic.org/discussion/post-covid-sweating/,dr4bama @dr4bama,I am experiencing profuse sweating off during the day and nightly. Is this common post Covid?
13,Low-grade fevers weeks after COVID: Is this common with long COVID?,https://connect.mayoclinic.org/discussion/fevers-weeks-after-covid/,pdd @pdd,I was hospitalized for COVID and home since 2/3. On 2/24 started to have low grade fevers in the evening. Tylenol takes care of the fever. I am on home oxygen still but improving. Mobility and strength is better. Important to note immunosuppression due to cancer therapy a year ago. Lymphocytes are still depleted. Is this common with long COVID?
14,Anyone Found Help/Explanation for Long Covid Neurological Symptoms? ,https://connect.mayoclinic.org/discussion/long-covid-neurological-symptoms/,robinholly @robinholly,"Has anyone found some help and explanation for their neurological symptoms? Symptoms like tremors, dizziness, difficulty walking, tingling in legs and back, muscles twitches in legs, hand tremors, cognitive dysfunction, ringing in ears, pain and burning in toes and feet. I have these symptoms and more. I have been through MRI of brain and full spine, peripheral nerve testing, muscle function and short fiber nerve tests all in the normal range despite the symptoms. I have been on 900mg gabapentin daily with little improvement, then things got much worse after getting the booster last month. Would love to hear from some that have found help and explanation.  "
15,Irritated and itchy skin with no rash,https://connect.mayoclinic.org/discussion/irritated-and-itchy-skin-with-no-rash/,1953 @hopeful1953,Has anyone experienced itchy skin in one area that travels to another area in a line. I thought it might be shingles. There is great pain inside my body’s underarm. A swab sample was  taken  in the ER. The test turned out negative for shingles. This condition started about 3 week after my positive test for COVID. My Dr ordered a script for neurontin which has calmed the pain.  I have had this condition for at least 5 weeks. 
16,Difficulty Driving After COVID-19,https://connect.mayoclinic.org/discussion/difficulty-driving-after-covid-19/,McNabb5 @dmorris24,"In 2021, I drove for miles on the highways for additional income using Lyft, GoPuff and GrubHub to provide extra cash for my family. January 2022, I tested positive for COVID-19 along with my family. I knew I shouldn't be driving while I was sick but I decided to drive to get essential medicine next door. As I was driving out of my apartment complex to go to the store I had a painful squeezing sensation in my left leg which traveled to my arm and chest. I thought I was dying so I stopped and I tried going to Urgent Care but I couldn't drive any further. I went home and waited even though I should of went to the Emergency Room. During my battle with COVID at home I would have episodes where I had difficulty breathing, fatigue, brain fog, fever, light headed, chest pain, nightmares at night and some loss of taste. COVID was the worst sickness I had experienced in my life. After I tested negative a lot of the symptoms went away but I still had difficulty breathing, palpitations and I couldn't drive for even 2 miles. I eventually went to the emergency room in February 2022 and learned my D Dimer was high but no blood clots in chest, lungs and a normal EKG. June 2022, I had a Pulmonary Function Test and learned I had intermittent asthma after my COVID-19 infection. I checked my heart as well with my cardiologist and all my tests were normal including a stress test. Fast forward to now, I still have trouble driving but it's not as terrible. There are some days I can drive for 2 hours and others only minutes. I can't find any patterns other than my symptoms are worst when I drive on the highway. I get shortness of breathe, tingling in my hands along with feet, squeezing in my legs, squeezing in arms, light headed, feeling of fainting and chest pain. I was told it's just anxiety and I've been to the ER many times but these symptoms are very real and terrifying. I thought I could overcome this and took a job as a Field Technician but I was fired because I had an episode on the highway where I had to go to Urgent Care. This is ruining my life because as of lately my recent job offers involve a lot of driving and I struggle to drive. It's extremely difficult to get a remote job as it's extremely competitive. I'm hoping for a desktop tech job nearby so I don't have to drive too far. I wanted to know if anyone else has experienced the same issues with driving after COVID-19? What did you find and how you've over came it?"
17,Reinfection and immune suppression on prednisone,https://connect.mayoclinic.org/discussion/reinfection-and-immune-suppression-on-prednisone/,dawn76 @dawn76,"Hi, I couldn't find a thread on this but wasn't exhaustive. I have been recently diagnosed with long covid and waiting to see an infectious disease specialist. I tested positive February 8 but am now negative. This was my second covid infection, the first started in late July 2022 and it took a month to recover that time because of inflammation in my lungs (which responded to a steroid inhaler). This time I took Paxlovid and most of my symptoms resolved. However, I continue to experience substantial fatigue and recurring low grade fevers. I started prednisone last week and am on day 6. It didn't help as much as I hoped but I was planning to try working 2 days this week. I work mornings at a preschool. Today, 3 students and 1 teacher tested positive for covid. I know I might have some immunity to covid but I also read the prescription warnings for prednisone to stay away from people with infections. My school is mask optional and I will mask. I'm feeling like it might be too risky to go back to work this week. Does anyone have experience with reinfection and suppressed immunity on prednisone? Thank you!"
18,Neuropathy post-Covid infection: Is there treatment that helps?,https://connect.mayoclinic.org/discussion/neuropathy-in-feet-post-covid/,erice10 @erice10,"Since having Covid in Jan. of 2021, I have had constant numbness and joint stiffness in my feet.  Is there a treatment or therapy to help with this?  Is there a study researching this kind of problem in Covid long haulers?  I had an ultrasound checking the blood circulation in my legs and everything was fine."
19,Monolaurin for long covid?,https://connect.mayoclinic.org/discussion/monolaurin-for-long-covid/,greg1234 @greg1234,"Greetings, friends, long covid for a long time here. A friend's son is taking Monolaurin after mono and given all the research into Epstein-Barr Virus and long covid, I wondered if anyone has tried it? Thank you, Be well, Greg"
20,What remedies help with post Covid cough?,https://connect.mayoclinic.org/discussion/post-covid-cough/,gvstenst01 @gvstenst01,"I'm three to four weeks past COVID and still have cough (during the day)  I sleep ok without coughing.  Lungs seem to be clear, the cough is more bronchial producing expectorant.  Cough remedies (except honey) don't seem to work."
21,Has anyone had nausea with the coronavirus or post-COVID?,https://connect.mayoclinic.org/discussion/coronavirus-2/,janfloyd @janfloyd,Have anyone had nausea after coronavirus?
22,Lost Smell and Taste after COVID,https://connect.mayoclinic.org/discussion/smell-and-taste/,seanc6437 @seanc6437,So I had Covid in the beginning of March. Had all the symptoms and lost my taste and smell. I had 0 sense of smell or taste for a couple weeks. Ever since then everything I eat and smell does not smell or taste how I remember. Often times the food will taste rotten or sour. Has this happened to anyone else cause this has been going on for 6 months now and I would like to know if this is a permanent effect or not?
23,Swollen Lymph Node (Neck) as a Result of Covid Virus,https://connect.mayoclinic.org/discussion/swollen-lymph-node-neck-as-a-result-of-covid-virus/,subvet @subvet,"Hello,  I had a mild case of covid-19 in May.  The lymph node in my neck swelled and hasn't yet reduced in size.  I rarely if ever have had swollen lymph nodes.  My PC gave me an antibiotic which did not help. Has anyone else experienced this?"
24,cPass New Antibody Test,https://connect.mayoclinic.org/discussion/cpass-new-antibody-test/,joko @joko,Is anyone at Mayo considering this cPass test for antibodies? Does it actually measure a percentage or level of antibodies? I'm not sure from this press release if it would be worth it? Anyone else heard of it or tried it? https://www.prnewswire.com/news-releases/cpass-a-new-antibody-test-shows-your-bodys-response-to-the-covid-19-vaccine-301350758.html
25,My Recovery Strategy: Things are getting better,https://connect.mayoclinic.org/discussion/recovery-strategy/,prancer20 @prancer20,"I think I am very gradually getting better 9 weeks post Covid. I have learned that trying to do too much exercise when I have felt better can lead to an energy crash. I think that the trick is to very gradually increase my exercise routine and to give myself a day or two of rest in between.  Twenty minutes of yoga, then rest, eating lunch or a snack and a short walk is what I am doing now.  I am monitoring how I feel for now and am hoping that I will be able to start dancing a little again maybe in a few weeks."
26,Covid Recovery: How can I manage GI issues?,https://connect.mayoclinic.org/discussion/covid-recovery-and-gi-pain/,sieb369 @sieb369,"It has been 5 weeks since my COVID symptoms began. I am well past the isolation date. I had nausea and diarrhea during COVID along with the usual symptoms of cough, fatigue, rapid heartbeat and sinus issues. I have felt like I was over this, but I began having GI pain in the last week. I feel as if my intestines are sore on the inside. I guess it is inflammation. Has anyone else had this and is there anything I can do to help it? Probiotics maybe?"
27,Dysphagia (swallowing issues) after intubation: What therapies work?,https://connect.mayoclinic.org/discussion/dysphasia/,pran @pran,My husband was intubated 57 days.  He has not been able to swallow since intubation in March 2020.  Swallow therapies have not worked. Can anybody recommend a physician who deals with extreme dysphasia?
28,Post Covid/Long Covid: Anyone else experienced bladder issues?,https://connect.mayoclinic.org/discussion/post-covidlong-covid-bladder-issues/,emmabell @emmabell,Had Covid on Oct 1st. Most symptoms were gone after about 10 days but I still have a headache and heart palpitations.
29,Micro Clots,https://connect.mayoclinic.org/discussion/micro-clots/,leahodell @leahodell,"Have any of the Long Covid members been involved in reviewing the concept of microclots, as an explanation for ongoing symptoms following infection with Covid 19? "
30,Thinking it’s all in our heads…,https://connect.mayoclinic.org/discussion/thinking-its-all-in-our-heads/,plisbe @plisbe,"Not sure this is the appropriate forum to talk about this- but, when I first was diagnosed with LC ( 13 months ago) I remember sitting in pulmonologist office and when she told me it’s not in my head – I am sick- I broke down. She – and many since- have spoken about the relief we feel when a physician tells us this is a real thing.. To this day- I feel like so much of this is in my head- especially when my symptoms aren’t as severe. The shortness of breathe, the racing heart, the jumpiness, the ear- fullness. The chest and base of skull pain. I’m so fortunate that these symptoms aren’t keeping me bed ridden anymore- but that nagging inability to believe I’m not doing this to myself is hard to navigate. Why is that? Is it because symptoms are so weird? So hard to describe? We can look like we are fine? Not sure what I’m asking here- just wondering how others have dealt with this. Thanks- hang in there all!"
31,Has anyone else experienced anxiety after getting Covid?,https://connect.mayoclinic.org/discussion/post-covid-anxiety/,da69 @da69,"I never had anxiety prior to getting Covid…Now i am on klonopin as needed and buspar
10mg 3 times a day.
Has anyone else experienced anxiety after getting Covid?
Does it ever go away…im approx a yr and a half and still have bad anxiety that comes and goes out of nowhere.
Thank.you"
32,"After Covid, anyone experiencing continued hair loss?",https://connect.mayoclinic.org/discussion/after-covid-anyone-experiencing-continued-hair-loss/,mollymm @mollymm,I had some hair loss initially but it seemed to stop. I am now 10 months after Covid and my hair is again falling out.
33,Anyone experience Post-Covid Inflammatory Arthritis?,https://connect.mayoclinic.org/discussion/post-covid-symptoms-1/,leezer @leezer,"Has anyone here experienced an increase in joint pain, elevated sed rate post Covid?  I have been told I have a type of inflammatory arthritis post infection.  Methyltrexate injections for 4 months has not really brought about a BIG improvement. "
34,Long COVID and gluten sensitivity,https://connect.mayoclinic.org/discussion/long-covid-and-gluten-sensitivity/,ansimp231 @ansimp231,"So we got COVID twice within just about 5 months. The first time was bad. The second we were mostly asymptomatic. Since the second infection my 8 year old has gotten terrible stomach cramps every time she ate. Finally got her pulled off gluten, and since then only a few issues, and they were with heavy lactose foods, which we went ahead and cut as well. All fine since then.
Has anyone else had the same issue? Are you still going through it? Have your symptoms lessened at all? We're still waiting to see GI, the waiting time is so long. And her Dr has been helping as much as she can, but we just don't know what to expect anymore. This has been going on since January 22 for reference on time. "
35,Horrible Taste and Smell (burning garbage) post COVID: Anyone else?,https://connect.mayoclinic.org/discussion/garbageburning-taste-and-smell/,traceyn @traceyn,"Hello,
I am looking for some guidance for my husband. He lost his taste and smell in November 2020. After receiving the second Pfiser vaccine he started having a bad taste and smell. It has gotten progressively worse to wear now he can not get food or shakes down. Everything smells like burning garbage, to the point that he gags, or get physically ill. He has been to a neurologist, ENT,  and general dr and no one knows what to do. I don't know where he can go next but he has no more weight to loss and it is getting to the point where I think this could be life threatening because he just can't get food down. But what dr do we see? Thanks for any help you can offer!
Best to all of you who are sufferting.
Tracey "
36,Anyone have long term recovery?,https://connect.mayoclinic.org/discussion/anyone-have-long-term-recovery/,Laura Dropps @ldropps,"I was positive for Covid for the first time in November 2020. It's been a rollercoaster ride and I believe I'm as well as I've been since then. I am not where I want to be, however and not where I thought I'd be after going to the Mayo. I wish I could even talk to a nurse or my doctor, but I was told I'd have to start at the beginning at the Mayo. So I have an appointment in May with a rheumatologist here at home. Hopefully, something will come of that. Has anyone had close to a full recovery?  "
37,Anyone experiencing resurgence of long haul symptoms?,https://connect.mayoclinic.org/discussion/anyone-experiencing-resurgence-of-long-haul-symptoms/,bmd @bmd,"Anyone experiencing resurgence of long haul symptoms after being reinfected with Covid? Particularly insomnia, head fullness, head noises and brain fog? The 27th of this month will be one year from initial infection. At month 10, symptoms were lessening. Reinfection last month brought them back especially those mentioned above."
38,How did a Long Hauler COVID Clinic help you?,https://connect.mayoclinic.org/discussion/waited-6-months-to-go-to-long-hauler-covid-clinic-and-very-disappointe/,joannemm34293 @joannemm30809,Well I waited over 6 months to go to a long hauler covid clinic in Central Florida and I'm very disappointed after my first and only appointment with this doctor.
39,I am finally giving up COVID can have me,https://connect.mayoclinic.org/discussion/i-am-finally-giving-up-covid-can-have-me/,billie6977 @billie6977,"After now being 7 plus months of being tortured, over looked, and passed up. I am here to tell you all I am done trying. The pain of rejection hurts more than the pain left behind from Covid. All I wanted when I tried to make contact with the Mayo Clinic was for a doctor with a little knowledge of what is happening with me to just speak with me, but nope. I was sent a email stating there's no resources for me they were sorry to inform me my application was closed. That is it besides you can't contact this email. No reply!!!
I reached out to everyone and everywhere I could and nobody and I mean nobody responded. Except for the normal I will pray for you, called me a drug addict ( I don't take meds even so how is that), lie to me and lastly there is not one red care in this world for me. So I am here to say  Thanks for nothing folks. I am done if I die nobody is going to care. I bet not one person has even read this message. "
40,"""Nap attacs""",https://connect.mayoclinic.org/discussion/nap-attacs/,eyja @eyja,"Has any one been experiencing something I call ""nap attacs""? I get this terrible sleepiness in the daytime, at first up to three time a day, now not quite as offten. There has been no way to get out of these attacs, they don´t pass, except taking a nap. I´ve had to stop the car and sleep. Fallen a sleep in the hot tub at the swimmingpool and on my tiny sofa in my office.. – several times.
I haven´t seen this discribed. It´s not the same as fatigue, it just severe sleepiness. "
41,When to go back to work/work from home,https://connect.mayoclinic.org/discussion/when-to-go-back-to-workwork-from-home/,mvtrose57 @mvtrose57,"Hello everyone!
I am 7 days in, still dealing with sinus issues, headache and mucus. I work from home, it is a mental position. What is everyone finding is the norm to going back to work with working from home. "
42,Any Long Haulers have Ulcerative Colitis from Covid,https://connect.mayoclinic.org/discussion/any-long-haulers-have-ulcerative-colitis-from-covid/,kitty2 @kitty2,"Hi..do any of you have Ulcerative Colitis as a result of having Covid and   what is working or not working for you as a result of this illness.  Any feedback would sure be appreciated.  I have been taking Budesonide for months now and i think this drug is making the Colitis worse.
Thanks in advance for your respones.
Sincerely,
Kitty2"
43,Has anyone else been diagnosed with COPD after COVID?,https://connect.mayoclinic.org/discussion/new-guy-looking-for-answers-path-forward/,bentleyoakguy @bentleyoakguy,"Howdy,"
44,Ocular migraines post Covid triggered GBS,https://connect.mayoclinic.org/discussion/ocular-migraines-post-covid-triggered-gbs/,bonnie95mc @bonnie95mc,I had a flu shot then got Covid a week later. The combination triggered Guillain Barre disease. I have mostly recovered from it- it has been 3 months- but now have been getting an ocular migraine every few weeks. Has anyone else experienced ocular migraines from Covid/other?
45,Paxlovid Rebound?,https://connect.mayoclinic.org/discussion/paxlovid-rebound-1/,lovemypups @lovemypups,"I tested positive on February 17 and started the 5-day treatment of Paxlovid that evening.
By February 24, I started to improve and thought that I was on the mend. But by Sunday, February 26 the symptoms returned with a vengeance (severe congestion, cough, fever, headache, fatigue).
I went to the sick clinic at my doctors office on Tuesday, February 28 and was seen by a nurse who said she didn’t think it was rebound and only a sinus infection. She put me on antibiotics. I felt unheard and unseen. It seems to me to be classic rebound, but it was as if she didn’t want to acknowledge it (maybe they didn’t want to report it?).
Isolation is recommended for 5 days following the first day of rebound, so I have treated it as a rebound to protect my husband who is diabetic.
Has anyone else experienced rebound with Paxlovid? Anyone end up with a sinus infection with COVID?
Thanks"
46,Shortness of breath a year and a half after recovering from Corona,https://connect.mayoclinic.org/discussion/shortness-of-breath-a-year-and-a-half-after-recovering-from-corona/,romeo51 @romeo51,"Hello, I am 26, after contracting Corona a year and a half ago, I suffer from shortness of breath almost continuously, and shortness of breath affects my work and my life, and I felt that shortness of breath with cold weather increases and with many other things, even though before Corona I did not suffer from shortness of breath at all. Is there a similar condition for me and recovery and what are the explanations  About shortness of breath and what are the ways to reduce shortness of breath after recovery from Corona .. I wish you a speedy recovery"
47,Going Back to Work,https://connect.mayoclinic.org/discussion/going-back-to-work-2/,lovemypups @lovemypups,"I started having COVID symptoms on Feb 16 and was diagnosed with COVID on Feb 17.
I am vaxxed to the max (5 shots all together, last booster was in November 2022), and I know that is no guarantee you won’t get COVID, but I was disappointed that it finally caught me. I had so many friends get it and had been exposed but never got it so I was feeling confident (cocky?) I would never get it.
I am 64 and in good health, teach an exercise class and eat a fairly healthy diet.
I guess I’m considered high risk by age, so my doc got me right on Paxlovid that evening that I was diagnosed. I was hopeful I would have a minor case and go right back to work in 5 days. That was 10 days ago.
While most symptoms have improved (cough is almost gone, no more high fever, small spurts of energy) I have a few persistent symptoms that are keeping me home from work. I still have a stuffy nose, fatigue, and can’t seem to go 24 hours without a low-grade fever (a requirement for me to return to work).
I feel very unproductive and frustrated. I love my job and want to return to work, but I fear this lingering fever could keep me home a lot longer.
I followed advice given to me by HR and (reluctantly) filed for protection under FMLA. Now I’m glad I did because I never expected to be out of work for more than a week.
I can do some work from home, but I work in a public facility and need to be there to fully do my job.
Any others finding it challenging to return to work?
So glad to have found this group!"
48,"Anyone else experiencing what I call head ""awareness?""",https://connect.mayoclinic.org/discussion/anyone-else-experiencing-what-i-call-head-awareness-1/,allicatguy @allicatguy,"I'm 73 with 2 Pfizer COVID shots and one Pfizer booster before this condition started. Had it now for 9 months…sudden onset 11/10/2021. Fever, chills, brain fog, fatigue, bad nasal drainage…nothing into chest.  No loss of smell or taste. Five days after first symptoms was finally able to get into clinic for COVID test…negative.  Was affected for nearly 3 weeks before nasal issues diminished.  Brain fog, concentration, balance issues, fatigue continued along with the newly recognized head 'awareness' or 'sensation.' Many of the symptoms of long haul COVID or chronic fatigue syndrome.  I've had numerous blood test, seen neurologist, had a brain MRI.  No indications of the cause."
49,What helped to reduce my internal vibrations,https://connect.mayoclinic.org/discussion/what-helped-to-reduce-my-internal-vibrations/,Jo @sen4,"I am sorry to read everyone's story and relieved that I am not alone. I have never tested postitive for covid but I feel that vaccine has a part in cauaing or at least contributed in worsening my symptoms; pain, tinglings, twitching and internal vibrations. I  have complex symptoms I cannot count. I have a lot to say about my experience, maybe another time but just a quick message to say that I don't know what's causing them but some supplements, especially making radical changes in my diet seem to reduce my internal vibrations. Supplements alone didn't indeed stop them but stopping to eat many food did reduce them significantly. I don't know if it will work in your own case but maybe worth trying. Fasting also reduce the vibrations. I basically eat meat, chicken, vegetables (greens, cauliflowers, broccoli, zuccini, fresh peppers, hot pepper, spices, seeds, etc.) and mostly shelled nuts (less processed) but other nuts and seeds as well and drink bone broth. No gluten, no diary, no lactose, no fruit. I avoid eating scratcy vegetables (no peas, potato, etc), no rice, grains, lentils or fruit except blueberries and alike. I lost about 3 kgs but feel better although muscle twitchings are happening more often. I opted to olive oil mostly. I avoid frying my food. Also no sugar, no desserts, no coffee (rarely), eggs (rarely), no herbal tea, no gluten free flour or packaged gluten-free food because they are processed and have rice and corn flour in them etc. Avoid flour in general. I prefer hot water with frech ginger, fresh lemon juice, cinnamon, cloves black pepper and turmenic powder. I make green vegetable soup with chicken, ginger, hot pepper, etc. mostly.  Be careful with the amount of lemon juice. I make my choices based on anti inflammatory and anti toxic approach as much as possible. I stopped using cosmetics like creams. I use natural soap. I opted for natural oils for my face and body which I use every day. I mix some oils and apply this on my body which seem to reduce or stop esp. nerve(?) pain on my low left side + my low back pain. I have been taking propolis powder and bee polen every day with water, vitamin B complex, a-lipoic acid (2 months), probiotics that are bile resistant (continous), – Vitamin C (could be with Rosehips & Citrus Bioflavonoids) – one table each gluten and lactose free. Also omega 3 (in triglyceride form, 2×1) OR krill oil (1×1). I have been taking probiotics for the last 7 months. I have been taking all others for the last 1,5-2 months. I have also used anti-parasitic medicine a few weeks ago and was on some anti-fungal medication for vaginal ph imbalance die to previous infections. I have a history of reoccuring UTIs and antibiotics didn't seem to work but make me feel worse. My immune seem to be weak. I try to avoid taking medicatios excepts some supplements as mentioned above. I will probably stopped alpha lipoic acid after finishing the box, and switch to a multivitamin and mineral after I finish vitamin B complex. I would particularly suggest to begin with a slow elimination of your diet and be patient. My approach again was to not eat too much and target healing the gut.  I know how desperate one can feel and hope this helps someone. Please be careful when applying, always observe how you feel. I guess one needs to stick to this strick diet to see results if one can tolerate it. Please let me know if you see any changes. I still have other symptoms but this approach helped with reducing the internal vibrations significantly. I will try to write my story maybe another day. Best wishes."
50,Post COVID: Anyone experiencing internal vibrations?,https://connect.mayoclinic.org/discussion/internalvi-ratio-upon-waking/,sharho @sharho,"I have had long covid for over two years and a symptom began sporadically during the initial seven weeks that has worsened since a second covid experience. It began as a “flutter” in my chest upon waking, lasting 5 seconds or so. It is not painful just a new sensation I have never experienced. After getting covid again in February 2022, the internal vibrations have become full body and go on for forty seconds. It is always upon waking or falling asleep temporarily during meditation and waking again. Long Covid retired me from my profession and I am not under any stress.  I had a recent cardiac incident (also due to long Covid) and wore a Holter monitor. I triggered it whilst having an IV incident: definitely not cardiac induced. Has anyone else experienced IV like this?"
51,Shingles shot: helped or hurt long covid symptoms?,https://connect.mayoclinic.org/discussion/shingles-shot-helped-or-hurt-long-covid-symptoms/,greg1234 @greg1234,"Greetings, 16 months of long covid, I am interested in getting the two shot shingles vaccine, but worried about aggravating PASC symptoms given the reaction that some people have from the shot. Have you had the shot? Made things better, worse or neither? Thank you! Greg "
52,Long Covid Handbook,https://connect.mayoclinic.org/discussion/long-covid-handbook/,madison1277 @madison1277,Hi – I am finding this book – The Long COVID Handbook -very helpful in terms of coping strategies and understanding the disease:
53,Carpal tunnel like symptoms post COVID ,https://connect.mayoclinic.org/discussion/carpal-tunnel-like-symptoms-post-covid/,debbterr @debbterr,"I came down with COVID in October 2021. During my 3 week illness, I experienced tingling in both hands foe about 2 weeks. It eventually went away, but 2 weeks ago I started experiencing carpal tunnel like pain in both wrists.   Wondering if it could be related to COVID.  Anyone else experience anything similar? "
54,Flu shot with long haulers Covid recovery ,https://connect.mayoclinic.org/discussion/flu-shot-with-long-haulers-covid-recovery/,jd44204 @jd44204,Is there any data on the pros and cons of getting the flu shot if your having long term symptoms from Covid 
55,Long Covid & Relationship Strain,https://connect.mayoclinic.org/discussion/long-covid-relationship-strain/,coopm0m @coopm0m,"Covid 11/2020. I have a lot of the symptoms, head to toe. At home I try not to say them all out loud daily because I don’t want those things to have more power in a negative way. I quit working, with my spouse’s support, about one year ago. Is anyone on disability? I do not want to be on disability even if it would be approved. At home I am about 50% productive. However, all of it has put a strain on my marriage and normal daily life. Recently my spouse actually voiced that there is disbelief that “long covid” is really my problem. I’m very concerned about separation or divorce. I don’t know if I should be taking steps to protect myself or how can I help my spouse understand chronic illness? (Yes, I do have PTSD from trauma as a child and as an adult. That is another piece.) "
56,Will taking Paxlovid for COVID negatively affect Ulcerative Colitis?,https://connect.mayoclinic.org/discussion/ulcerative-colitis-and-covid/,healthcoachdee @healthcoachdee,"Dr is recommending I take Paxlovid for COVID. I am concerned it might affect my UC symptoms- or negatively affect them in the future.
Anyone have experience with this? "
57,Acupuncture to relieve dizziness ,https://connect.mayoclinic.org/discussion/acupuncture-to-relieve-dizziness/,auntb65 @auntb65,"I apologize if this has already been brought up. I couldn’t find a discussions on this topic.
Has anyone tried and had success with acupuncture to relieve brain fog or dizziness. Wondering if it would help with my tightness issue also.
Thanks for any input. "
