,Questions
10,"
Hi Mandy, thank you posting on this forum today. Being alone, especially during COVID, can be really difficult and can have an effect on your mood. Some people may end up turning to alcohol during these times, however drinking excessively can be problematic. You may want to try to choose a few people you would virtually reach out to if you are feeling very lonely one day. Also, try to do one thing per day that you enjoy (e.g., read your favourite book, drink your favourite tea/coffee on your couch etc.). It’s also good to check in with your doctor or a therapist to make sure that you are getting the support that you need and deserve. Feel free to click here to learn about healthy suggestions on how you can get through these challenging times. 
"
11,"
Hi, I am doing everything I can to keep safe but keep feeling anxious about whether my family members will get it, or whether I will get it and whether we will get a serious case and have to go to the hospital or if it will get even worse and one of us will die of it. I feel helpless even though we are all doing whatever we can to keep safe.
"
12,"
Hi penny foryourthoughts. Thank you so much for posting your concerns on our Discussion Forum. This most certainly is an anxious time for many people, especially about the concerns you raised in your comment. During this stressful time, you might find it helpful to try to calm some of your thoughts by using cognitive techniques. This can be practicing mindfulness (e.g., Petit Babou or Headspace app), doing physical activity, practicing breathing techniques, or doing some anxiety interventions. Speaking to a therapist or mental health professional may also be helpful, if you find that your anxious thoughts are hard to control and work with.
Thank you for doing everything you can to keep safe. You are keeping yourself and others away from risk, and we would like to thank you for it! We'd love to hear if others are feeling this way too, and have any other suggestions for penny foryourthoughts?
Thanks again for your post.
"
13,"
Being alone is hard enough sometimes, but keeping busy has helped me coupe to some extent. Even though I may do some video conferencing and talk to some of my friends and family on the phone, Facebook at times is a cesspool of garbage at times and some express wants and needs or how they are feeling. I don't think this is helpful, although some of my friends are at least living with others. I still get loneliness feelings. I feel like no one really cares...but I know this is not true but my brain is getting caught up with the non-in person visiting. I love being around people, not necessarily those who I know either.  How are others feeling in this situation? Any suggestions as to how to curb this and feel better?
"
14,"
I feel the same way, I am ok most of the time, but I do miss connecting with people in person. I'm single and it's tough, I came here to see how other people are managing this as well. I wish I had more answers
"
15,"
Hi Twizzler 72, Thank you for sharing your concerns. It most definitely is a difficult time. Connecting with people has been a major change in people's lives since we're distanced from our loved ones, friends, and meeting new people. Are there other ways you have found to be helpful to connect with people, that perhaps would be helpful to Dale H and other users?
Thank you so much for posting on our discussion forum!
"
16,"
Hi Dale H, thank you for your post. We can see that it has been difficult for many people to keep themselves and other safe, while at the same time struggling with isolation. Sometimes when people feel down about something, the negative thoughts we have make us feel even worse. In times like these, it may help to journal daily gratitudes. This can be (a) parts of your life that have not been negatively affected, (b) areas in your life you have grown by being distanced from friends and family, etc.
We would love to hear about how others have been feeling in this situations, and if there are any other suggestions?
Thank you.
"
17,"
I am becoming more and more frustrated by the expectations the Ministry of LTC, Ministry of Labour and Resident families are putting on the LTC worker.  We have been getting swabbed for testing once a week since November.  Staff come in on days off for no compensation now they are introducing rapid testing which will be 3 x a week yeah.  Our nasal passages will look like someone that has been abusing coke for years.  No other sector is subjected to these invasive test routinely.  I was one of the lucky staff to receive my initial vaccine but now it is day 31 with no word when next dose will come.  I always was taught to follow the drug companies guidelines when taking medication so find this ambiguity very frustrating.
"
18,"
Hi Mustang Sally, thank you for sharing your experiences with us today. It is normal to feel a bit of frustration with these new protocols, all the changes, and with the ambiguity. It sounds like those who are working with vulnerable populations have to follow more strict protocols, which can be difficult. 
I am happy to hear that you were one of the lucky staff members to receive your first dose of the vaccine! Many people who received their first dose of the vaccine have questions about their second dose. According to the Centre for Disease Control and Prevention (CDC), “The second dose should be administered as close to the recommended interval as possible. However, if it is not feasible to adhere to the recommended interval, the second dose of Pfizer-BioNTech and Moderna COVID-19 vaccines may be scheduled for administration up to 6 weeks (42 days) after the first dose”. If you have any specific concerns or questions about your second dose, please feel free to ask CDC directly here. Thank you for being part of the frontline staff at the LTC; it clearly is not an easy task and there is a lot required from managers/staff in hopes to keep everyone safe. 
"
19,"
Hello, I saw this new apparatus and wondering if it will be safe to use it please?https://getcoolturtle.com
"
20,"
Hi there, thank you for your post! We are happy to know that you are taking your safety into consideration before purchasing any products. Though we cannot comment on the safety for any commercial mask/accessories, we can inform you that the World Health Organization (WHO) stated the following below: There are different mask shapes such as flat-fold or duckbill – find the one that fits closely over your nose, cheeks and chin. When the edges of the mask are not close to the face and shift, such as when speaking, air penetrates through the edges of the mask rather than being filtered through the fabric. Masks with vents or exhalation valves are not advised because they allow unfiltered breath to escape the mask.
For more information on mask recommendations, please visit the page called Coronavirus disease (COVID-19): Masks on the WHO website. 
"
21,"
Thank you for the response but that further complicates things I think because the more snug the mask is the more difficult to breathe but I do understand the benefit of having the mask fit snugly. Based on that info then I would have to think that best scenario might be to get this accessory and have the filter in front of it maybe?
"
22,"
Hi there, while wearing a mask that fits closely over your nose, cheeks and chin helps to avoid air from coming through the edges of the mask, some people may feel that it is harder to breathe. This trade-off can make it difficult for some people, making it harder for them to keep their masks on for extended periods of time. 
Again, though we cannot comment on the safety for any commercial mask/accessories worn either underneath or in front of the mask, I do want to kindly note the following disclaimer that is mentioned on the website: The Cool Turtle™ product is intended for use with non-medical masks only. Do not use for any medical purposes. For guidance on the proper use of non-medical masks, please feel free to review the Non-Medical Masks and Face Covering page on the Government of Canada website. My apologies that we cannot give you a direct answer to your question. We hope these resources can help you make an informed decision regarding your safety. 
"
23,"
I understand and thank you. If I may touch on one final aspect of this please, the article you referenced states:
""Masks with vents or exhalation valves are not advised because they allow unfiltered breath to escape the mask.""
My info on what exactly spreads the virus are ""droplets"" [so liquids] when one is speaking or sneezing. if that is accurate then I am not understanding about ""breath"" escaping issues, can you shed some light on this for me please? Seems to me if breath escaping can transfer the virus then face shields would not be of much use?
"
24,"
Hi there, first and foremost, thank you for taking the time to do your research in order to protect yourself and/or your loved ones, and for bringing your questions here for others to learn from as well. We not only welcome you to touch on aspects of the article(s), but we encourage you to do so!With regards to droplets:Naturally produced droplets from humans not only include droplets produced by sneezing and coughing, but they also include droplets produced by breathing as well! Not everyone is aware of this, so I am happy that you asked this question. With regards to vents/exhalation valves:It is said that, ""Masks with exhalation valves or vents are not recommended. These masks do not protect others from COVID-19 or limit the spread of the virus. This is because they allow infectious respiratory droplets to spread outside the mask.""With regards to face shields:It is said that, ""A face shield is used to protect the eyes of the person wearing it. Using a face shield without a mask: won't protect you from potentially inhaling infectious respiratory droplets exhaled by others, and it won't protect others from your infectious respiratory droplets, as they can escape around the face shield"".Again, we encourage you to continue asking more questions that you may have. Thanks again for bringing your questions to us and we hope to hear back from you!
"
25,"
So guys, hoping you all had a great and safe Holiday [mine was very quiet]. After putting a lot of thought into this and wanting to be as safe as possible I have these questions.
Since the virus would be in the air from an infected person in an enclosed room or car then being 6' apart should not make much difference?
Also, I don't think I have ever seen anyone with a mask which would be tight fitting enough to prevent air from being exchanged so maybe the Gaiter might be the best mask since it should keep the air between your mouth and all the way down the neck?
"
26,"
Hi, happy holidays to you as well! Thank you for bringing your thought-provoking questions to us here today. Wearing proper personal protective equipment (e.g., a mask, gown, face shield etc.) and maintaining physical distance (i.e., at least 6 feet) helps to reduce your risk of getting COVID. As mentioned on the Government of Canada website, “risk is higher when you’re in smaller, crowded or enclosed spaces, where you may be unable to maintain a physical distance from others and practise good hygiene, such as washing your hands.” If you are caring for someone with COVID, it is still recommended to maintain at least 6 feet distance. Please see this page for more details here.You are correct, according to Public Health Ontario masks (including non-medical masks) should be tightly fitting in order to effectively contain the respiratory droplets of the wearer. When considering what type of non-medical mask to use, the fitting and the material of the mask are both important to consider. It says that, ""materials with higher filtration efficiency may offer additional protection"". We hope this helps provide you with additional information to help keep you and your loved ones safe. 
"
27,"
Since the virus would be in the air in an enclosed room or car, would it make sense to get an air sanitizer "" spray"" before people enter the room and afterwards? If yes, any recommendations for Sprays please?
"
28,"
Sorry I can't edit previous reply. To clarify I meant sprays for the air and not surfaces.
"
29,"
Hi worried parent. Thank you for your response. These are very important questions and concerns that many people are currently facing. Thank you for bringing this to the attention of our discussion forum. That being said, we are not public health experts and therefore we are unable to provide government-approved sanitation recommendations or answers related to public health concerns. However, we would like to provide you with this link here, where you can ask public health experts your questions. If you have any mental health symptoms, such as anxiety, related to COVID-19, please do not hesitate to reach out to us here. Thank you!
"
30,"
I agree that my questions should be more accurately answered at the CDC ad there is conflicting info.
For example it was mentioned here that the mask should have a ""snug"" fit all round the noise and mouth but in this article here: 
 ""https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-face-masks-what-you-need-to-know""
Your mask should cover your face from the bridge of your nose to under your chin. ""It should be loose fitting"" but secure enough to stay in place.
"
31,"
I’m sleeping a lot! Can’t wait till bedtime, hate to get up in the morning.  I feel like I have a internal scream inside me,I just don’t feel safe to let it out!  Thank god for my dog, he’s the only thing keeping me going.  I think I need some counseling but I’m afraid to reach out to one.  I feel like most of them are even more off their rocker then I am.
"
32,"
Hi Northern Dancer,Thank you for sharing your thoughts and feelings with us today, you showed a lot of strength by doing that. I am sorry to hear that you are having trouble getting up in the morning, but I am happy to hear that your dog has been an important support for you. Please know that it is normal to feel afraid to reach out to someone for counselling, however getting additional support when needed is really important. You have made a great first step in recognizing your needs and joining this discussion forum. Finding the right counsellor for your needs may take some time, but we encourage you to reach out for support. It can also be helpful to involve a friend or family member. Here are some services below that may be helpful to get started:Access CAMH: Simply call 416 535 8501, option 2 for information about mental health servicesOntario Mental Health Helpline provides information about mental health services in Ontario
Call 1-866-531-2600 or visit their website: http://www.mentalhealthhelpline.ca/ Distress and Crisis Ontario offers support and a variety of services to people looking for someone to talk to when feeling lonely or down,
or having suicidal thoughts. Find your closest Distress Centre at: http://www.dcontario.org/centres.html#OntarioStay safe and we are wishing you all the best. Thanks again for reaching out to us!
"
33,"
Hi!I have had a few episodes of depression which at the moment is controlled. However, I had a rough day at work yesterday and feel the beginnings of saddness which can lead to depression if I'm not careful. I can usually handle the odd bad day as we all get them and it's part of being human but I'm wondering if because of all the other things going on, the pandemic, lack of fun time, haven't seen friends lately, if it's pushed me over the edge a bit....I feel so so tired and just want to be by myself....but maybe that's because I've been working more lately and am around people quite intensely with my job...I""m not sure if it's the depression or just normal needing down time. I also had my first covid test yesterday on my way out of work, It was quick and not too bad but a few minutes after on my way to my car I was seconds from passing out! I've feel a bit off since...and I didn't make it into work today...I am self employed luckily so I can switch days if I really have to...I feel pretty embarassed about that, thank god I made it to my car so no one saw me!!One of my major tools to help deal with depression has not  been available to me since March, it's a support group and it's the one thing that I really do miss:(
"
34,"
Hi Jenny D, thank you for all of your posts today! 
I am sorry to hear that you had a rough day yesterday. Getting a COVID test can be tough as is, and not feeling well afterwards can be hard. You are absolutely correct: we are all human and many of us experience the odd ’off’ day. It is great that you took a day off of work, as self-care is really important. 
The pandemic has changed a lot of our routines and many of us are not seeing our family/friends as much as we used to, which can have an impact on our mood. While being sad is a normal reaction to such events, constantly feeling this way can be difficult and it can have a negative impact. It’s good to check in with your doctor, mental health professional, and your family/friends to make sure that you are getting the support that you need and deserve, especially since the support groups aren’t currently available to you. You can also check out additional tips here. Hope this helps!
"
35,"
Hi jenny   I just signed up for this peer discussion and am reaching out as part of a health promotion project for school  I see that your posting was way back in july so perhaps this will not be sent to you   I am trying to see if there is a way to develop connections with people experiencing similar struggles to be a supportive network
If this letter reaches you I can be reached at 200470214@student.georgianc.on.ca    I am also female and seeking connection to meet my goal to strive for happiness
"
36,"
Hello,     I was diagnosed with Borderline Personality Disorder three years ago. I have taken part in the Dialectic Behavioral Therapy offered at my local CMHA about a year and a half ago. Besides struggling with BDP, I tend to struggle with Social Anxiety as well as Depression. To say the least, the pandemic has been a little overwhelming at times. Couple that with getting a new job in May of this year and I have been very anxious most days. One of the more ironic things about my employment is that I am working at my local CMHA so unfortunately, due to conflict of interest concerns I am not able to be treated there. I was referred to a different agency close to where I live, but I was not able to keep my appointments and my counselling just kinda fell off after a while. Around the same time I was also seeing a behavioral change counsellor about my substance abuse issues, but that also kinda just fell off at the start of the pandemic due to the counsellor I was seeing taking time off for personal safety reasons and neither one of us really following-up on things. Somewhat needless to say, things have been rough at times, I know I'm not the only one going through stuff, all of humanity is basically dealing with the issues related to the pandemic, so I don't want to come off as I think I am the only one or anything like that, but with my condition and circumstances, things can be pretty difficult for me. Due to the previously mentioned things as well as the fact that I live alone and can feel quite lonely at times, I wanted to make this post. Just to reach out and tell my story, or at least a part of it, as well as let anyone out there with similar things that your not alone. I know how empty those words can seem when your going through things, but from someone who knows that type of pain and hurt, I just want to say your not alone. I promise.
"
37,"
Hi John Doe, thank you for sharing your story with us here today! It must be difficult to deal with many co-occurring conditions, especially during this pandemic. I am sorry to hear that you lost connection with your counsellors as well. Even though everyone is going through their own difficulties during this time, we definitely do not want to discount the difficulties you have been/are facing. It is also very important that you take care of yourself during this time as well. It can be helpful to reach out to loved ones for support, and/or your family doctor or other health professionals (some counsellors are now offering virtual visits) for additional support, if required. We would like to thank you once again for sharing your personal story and for your empathetic words!You can also check out our website for additional tips to help you during this time: http://www.camh.ca/covid19
"
38,"
Hello, I am new here. I have an Autistic 21 year old son who likes to go the Malls and Parks and I am seeking a good mask for him. My research is showing that N95 masks are the safest but they are not reusable or washable. The 2nd best are Surgical masks but these are disposable. So both options would be expensive.Can anyone recommend a reusable/washable mask which would suffice or would it be best to go with one of the above mentioned please? Thank you.
"
39,"
Hi there, thank you for sharing with us today. It can be worrisome thinking about the health and safety of your children during the pandemic, but it sounds like you have done some great research on effective face mask options for your son.   While N95 masks offer more protection than surgical masks, they are intended for healthcare providers and not recommended for the general public. Instead, the Centres  for Disease Control and Prevention recommends the use of reusable cloth face masks. Here are some tips on finding the best cloth face mask:Find a mask with two or more layers of washable material (such as cotton or linen)A mask that completely covers your face and mouthFits snug against the sides of your face For more information on finding and wearing cloth masks, visit the following websites:1.  CDC: https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/about-face-coverings.html 2. Government of Canada: https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks/about-non-medical-masks-face-coverings.html#_Appropriate_non-medical_maskCBC Canada also published a list of non-medical face masks you can order that have at least two layers of tightly woven fabric, and contain ties/ear loops, as per the Public Health Agency of Canada guidelines: https://www.cbc.ca/life/wellness/non-medical-face-masks-you-can-order-in-canada-1.5572511
"
40,"
I have a friend who I recently reconnected with after a few years. Now she is into all of the COVID conspiracy theories and is very anti-government. She went to the COVID protest at Queen's Park, even though it was a 4 hour drive. I'm finding her ideas to not be helpful to my mental health. I don't know how to, in a healthy way, create some space between us, at least until this is over. Any suggestions? She wants to Skype and sends me articles. It's not like there's much else to talk about right now if we were to Skype; I don't think I could not talk about COVID. This friendship is creating quite a bit of stress for me. We used to be best friends so I don't want to exclude her from my life permanently. 
"
41,"
Hi Catness 45, thanks so much for sharing your experiences with us today. It sounds like taking care of your mental health, while also maintaining your friendship, is important to you. 
It can be stressful when our friends and family share opinions that conflict with our own views. It may be helpful to have an open conversation with your friend about the way you are feeling and perhaps agree to discuss other topics and mutual interests during your Skype calls instead. Practicing self-care is also important. If your friend continues sharing conspiracy theories, it may be helpful to explain that while you respect her differing opinions, you would like to have some space during this time as these conversations are causing some stress for you.
For more resources and tips on managing stress during the pandemic, I encourage you to visit our website www.camh.ca/covid19Stay safe!
"
42,"
It's a matter of setting boundaries with her. I find it really hard maintaining friendships with some people right now as I feel their true colours come out in times like this and unfortunately I have been so disappointed with some people. And for me once I lose respect for someone then that's it....I can't help it I just get turned off by certain behaviours esp. selfishness .
"
43,"
Hi Jenny D, thank you for your response and suggestion. Setting boundaries is definitely important, while having an open and honest conversation where you can express how you are feeling in a respectful way.
"
44,"
I am usually a pretty private person so its not an easy thing for me to put myself out there. But I've been really struggling lately and have to admit that I am in need of sharing and support. Any response would be greatly appreciated.
"
45,"
Hi Davana, 
Thank you for your post, you showed a lot of courage by sharing with us today. It is not uncommon for people to feel like they are struggling during this time. This forum is a great place to reach out for support and share with the community. It can also be helpful to reach out to loved ones for support, and if you feel like you are still struggling it’s usually a good idea to get assistance from a family doctor, a counsellor or a crisis line.For more information and resources, I encourage you to visit our website at www.camh.ca/covid19
"
46,"
Hi Davana, I am much the same way, but when you start to reach out you find you are not alone. So many people are struggling right now. I hope you are feeling a bit better as I see your post is from a few weeks ago, I just joined this forum today.
"
47,"
What does everyone think
"
48,"
Hi Scott,Thanks for your post. I think your worries are commonly shared by many of us trying to navigate back to (somewhat) normal. As a society we've had to rethink how our work will continue to get done while also doing our best to keep everyone safe. While some business may be opening up, we can still follow the precautions (wearing a mask, frequent hand washing etc.) It may be helpful to approach your employer in advance to explore what your return to work might look like - what precautions will be put into place such as reorganizing physical spaces, doing more tasks remotely and will they provide protective equipment if needed. If possible, you may consider also speaking to some of your co-workers to see what they think. Depending on your workplace, an Employee Assistance Program or Human Resources department may also be able to provide some support and guidance. curious to hear what other folks have implemented with planning a return to work 
"
49,"
Hi Scott! 
Nice to e-meet you and hope you are keeping well. I turned to this discussion board for the same reason that you did; hoping to get some support and perspective during an interesting time. Currently, I am working from home and live with a parent who would be considered part of the vulnerable population. I too have worries about risking my health and the health of my parent when I return back to work. Since working from home, productivity has been great within my company, so much that HR is now considering implementing a flexible work from home policy when things do go back to normal. This might be something to bring up to your HR department if you haven't yet already. I truly believe that any decision your employer will make will take into account your health and well being as top priority. Hope this helps you - stay positive! :)
"
50,"
Hi Scott, I'm new to this site and I realize it's been a while since you posted this but I just wanted to say I hope your fears were alleviated and that things are going well for you wether or not you have gone back to work. I was really concerned when a member of my family wanted to go work a job in the public sector but she is being careful and all is well so far so I hope it's the same for you.
"
51,"
Hello,While I know that we all need to practice physical distancing at all times, I'm having trouble doing it perfectly.  I live on a street which is tiny and cramped and has kids on it.  When I walk out my door, there are my neighbours 10 feet away on their own property.  I love all my neighbours.  I have a kid too and our kids play together--not all day but sometimes on weekends.  They ride bikes, play hockey or soccer on the street and are trying to stay 6 feet away from each other but it's not perfect.  The only way to do this perfectly would be to yank my kid inside the house each time someone else comes out.   I have taken my kid to the park etc. but there are always more kids at the park than on my street. Plus, kids at the park are all strangers, not like the bubble of 4 families of neighbours who all know each other.  They say it takes a village to raise a child and my little street is a village.  I find that taking my kid to the park comes with more risks than letting them play on the street where everyone is known to them.So, I'm not a perfect physical distancer but am doing my best.  But if there are other insights or advice that people have, I would like to hear it. Thanks.
"
52,"
Hello Guitar Girl, thank you for haring your experiences and concern with us here.
It definitely sounds like you are doing your best to respect the recommended guidelines and you should give yourself credit for that. Undoubtedly, it is hard to follow guidelines like social distancing perfectly, for the simple reason that we can only control our behaviour and not others'.
I also appreciate how you were able to find a middle ground between staying at home and going to overcrowded parks by opting to let the kids play in the street. That resonates with me too as a safe option.
Children are born learners and can be quite innovative. When going to the park or playing in the street with other kids, they can engage is social-distanced games like soccer, rope hopping, charades, scavenger hunt, hide & seek and many others!
You can even make an activity out of this where you brainstorm with the children social distanced games for them to play.
Most of us may not be perfect ""social distancers"", but I think we can still reduce risk by adopting the suggested recommendations like wearing masks and going to less crowded area -as you are doing already- .
You can check out this website for more ideas on how to help yourself and your children during these times
I would be interest myself in hearing other people's strategies on how they are going about this?
"
53,"
I'm finding it difficult to figure out what kind of services are available and what aren't for people with addiction. I've seen online news reports from Hamilton saying many of their harm reduction services are closed and I'm wondering what's available in Toronto? Is CAMH is still providing harm reduction kits or addiction treatment programs? I can't find stuff on their website about changes in their programs other than the fact that things are moving online more. Anyone know where I can find this kind of information without having to call every program/org I come across? 
"
54,"
Hello insom 96, thank you for reaching out here. I can see how it can get frustrating having to reach out to every organization separately to inquire about services. Access to addiction services is really vital and disruption to such services can be critical.
I understand why it can be hard to find a COVID19 updated list of which services are open and which are not due to the fact that organizations are continuing to change their procedures according to the continuously evolving situation.However, you can find here a compiled list of harm reduction services in Toronto and where you can go if you're looking for help.
For access to or questions about CAMH services, the process is straightforward. I encourage you to call 416 535-8501, option 2. You can also find more information at www.camh.ca/en/your-care/access-camh
"
55,"
Hi, I have a new family doctor for about a year but he doesn't know about my depression and anxiety as I have been coping and managing really well for the last 6 years without medication.  I have been able to do this with with my daily routine, working exercising and my friends and family, but since this all started in March my routine and the way I was able to cope is gone and its been so hard to manage, i have so many bad days, I don't want to do anything and i overeat, the list goes on. I have been thinking about going back on medication, but I don't know where to start or how to ask my doctor as i am not fully comfortable with him. Any advice would be great about asking for help and getting back on medication. thanks
"
56,"
Hello Sue,
Thanks for your post, it takes a lot of courage to reach out and ask for help. Many people are experiencing difficulties right now due to the current covid-19 situation and its ramifications.  These are unprecedented times and the struggles you have stated are not uncommon in extremely challenging times.  There are options that can give you additional support. 
Often times the first step is to get assistance from a family doctor as they have a base knowledge of you, a counsellor or a crisis line. Just a reminder, this platform is not a crisis support service, but we do care about your safety. 
You’ve mentioned how you’re not sure how to disclose your current struggles with anxiety and depression and you wonder how you may go about doing so with your family doctor.  I wonder if you would be open to just laying your “cards on the table,” so to speak, and share what you’ve posted on this forum. You could give your doctor’s office a call and ask to make a telephone appointment.  Hopefully during that appointment you could share what has been happening since March as well as the interventions that have helped you in the past, like exercise, speaking to friends and family as well as medications.  
It can be very difficult to open up to a health care provider and you have been able to face these difficulties in the past, accessing treatment and work very hard to maintain your mental health.  Your experience in doing so is vital in establishing a new care plan to address the difficulties you are currently experiencing.
All this being said, if you are in crisis, feeling suicidal, or need more emotional support then stated here, please call the Distress Centre at 1-833-456-4566 or text 45645. If this is an emergency or an urgent matter, it’s important you get help right away, so please call 911 or go to your closest emergency room.
Non-crisis Additional support:
Managing stress and anxiety:
Google:  https://play.google.com/store/apps/details?id=com.camh.covid19_managing_stress.
Apple: https://apps.apple.com/ca/app/managing-your-stress-anxiety/id1504005917
Psychological Impacts of the Coronavirus (COVID-19) from Canadian Psychological Association:
https://cpa.ca/psychology-works-fact-sheet-psychological-impacts-of-the-coronavirus-covid-19/
Online peer-to-peer support community for mental health from Big White Wall:
https://www.bigwhitewall.com/?lang=en-ca
Free skill-building program to manage low mood, mild to moderate depression and anxiety, stress or worry, Coaching via phone + online videos, Bounce Back Ontario managed by Canadian Mental Health Association (CMHA): https://bouncebackontario.ca/
"
57,"
I am a seasoned expert in the above techniques and I would love to share my education, experience and knowledge. I am both a ""survivor"" of two major mental health crises and a trained health professional in meditation, mindfulness and stress reduction.As well as sharing my knowledge, I am always interested in learning new things! So let's keep the dialogue in this area alive ;-)Here are a few things you can do RIGHT NOW to help you relax:1, Backwards counting from 50 with your breath: Start at 50 INHALE; EXHALE at 49; INHALE at 48; EXHALE at 47 and so on. If you forget what number you were at or reach 0 and are still not relaxed - simply restart at 50. I use this to help me drift off into sleep quite often.2. TAKE 5: INHALE for 5 seconds (say the word 'steamboat' silently in your head for each full second if you don't have a watch) THEN - EXHALE for 5 seconds. Repeat 5xs through. When you get good at this you can try holding the breath for 5 seconds in between - BUT please be seated or laying down for this as holding the breath may cause dizziness.
"
58,"
Thank you, Duchess!
"
59,"
my pleasure!
"
60,"
Thanks! Do you have any good guided meditation videos you can share? I prefer following someone guiding me through meditation.
"
61,"
i recommend https://davidji.com/meditation/
ENJOY and NAMASTE
"
62,"
Thanks for sharing these great tips and resources! Here are a few more links to free guided meditation for everyone:
1. Calm App: https://app.www.calm.com/meditate
2. Oprah and Deepak 21 days of meditation: https://chopracentermeditation.com 
"
63,"
I’ve heard similar techniques before and done similar techniques and I find them very helpful , thx for you insite
"
64,"
With slow breathing combined with exercise like walking outside and smelling the roses Is my go to also
"
65,"
Hi, Duchess.  This info is excellent.  I'm going to try the counting backwards tonight to sleep.
I want to add that the Center for Mindful Self-Compassion is offering free zoom meditation sessions 4 times a day, every day, to help people cope with Covid-19.  Each session is 45 minutes long (including an opening from the leader, meditation, and discussion) and led by an experienced meditation leader from somewhere in the world.  Ever since I discovered these, they have been a very helpful part of my day.   I have had days when I was very discouraged, and where I felt better after one of these sessions.  The center is here: https://centerformsc.org/   And you can sign up for a session here:  https://www.signupgenius.com/go/10c0c4aa4af29ab9-free
"
