content_index,score,preferred_name,cui
5,3.58,Rhinorrhea,C1260880
5,3.56,month,C0439231
5,3.55,home health encounter,C1553498
5,3.54,High,C0205250
5,3.54,Light Emitting Diode Device,C1708698
5,3.54,friend,C0079382
5,3.5,Initial (abbreviation),C1555582
5,3.5,Right,C0205090
5,3.5,Tests (qualifier value),C0392366
5,3.48,Third,C0205437
5,3.45,Any,C1552551
5,3.44,sinus pressure,C0848633
5,3.44,1 Day,C1442449
5,3.43,Else,C3842296
5,3.42,Following,C0332282
5,3.42,99,C3828813
5,3.42,Never (frequency),C2003901
6,3.75,Registered nurse,C0687673
6,3.5,Right,C0205090
6,3.48,Singular,C0205171
7,21.36,RESF1 gene,C1824356
7,15.94,Blood group antibody I,C0221138
7,15.79,Retained,C0333118
7,15.79,Tryptophanase,C0041260
7,10.42,Feelings,C1527305
7,7.31,SAFE-Biopharma Standard,C4684764
7,5.18,Family member,C0086282
7,3.75,Registered nurse,C0687673
7,3.68,Anxiety,C0003467
7,3.68,Case (situation),C0868928
7,3.68,Deterioration of status,C1279889
7,3.68,Helpessness (feeling),C2987395
7,3.68,National Health Insurance,C0027452
7,3.59,One,C0205447
7,3.57,GORAB gene,C1822658
7,3.57,Hospitals,C0019994
7,3.52,Cessation of life,C0011065
7,3.5,Rabbi,C0684010
7,3.5,Serious,C0205404
7,3.45,Ultrasound Study File,C3889164
8,28.22,Iodides,C0021966
8,18.74,Feelings,C1527305
8,8.28,RESF1 gene,C1824356
8,7.49,Others - Allergy,C1955473
8,7.27,Time,C0040223
8,7.13,Negation,C1518422
8,7.02,Friends - (Religious Affiliation),C1697767
8,7.02,Malaysia,C0024552
8,5.18,Brain,C0006104
8,5.18,Curb,C0263940
8,5.18,Hardness,C0018599
8,5.18,Helpful,C3898897
8,5.18,Living Alone,C0439044
8,5.18,Needs,C0027552
8,5.18,Not true,C3842413
8,5.18,Sometimes,C1998882
8,5.18,"Thinking, function",C0039869
8,5.18,To,C1883351
8,5.18,videoconferencing communications,C1450048
8,3.98,Assisted (qualifier value),C1269765
8,3.75,Registered nurse,C0687673
8,3.68,Busy,C4763454
8,3.68,WHO Temperature/Humidity Storage Condition,C3272598
8,3.6,Catch - Finding of sensory dimension of pain,C0231617
8,3.6,Love,C0024028
8,3.59,Exist,C2987476
8,3.59,Persons,C0027361
8,3.57,Family,C0015576
8,3.57,Household composition,C0595998
8,3.57,Some (qualifier value),C0205392
8,3.56,therapeutic suggestion,C0038659
8,3.55,Cancer Rehabilitation Evaluation System for Research,C4289848
8,3.55,One,C0205447
8,3.55,Speaking (activity),C0234856
8,3.5,R prime,C2603358
8,3.48,Retained,C0333118
8,3.48,Authorization Mode - In Person,C1547564
8,3.48,Better,C0332272
8,3.48,Loneliness,C0023974
8,3.44,Garbage,C0017095
8,3.44,Telephone,C0039457
8,3.43,Visit,C0545082
8,3.43,Any,C1552551
8,3.43,"Examiner, Medical",C0025082
8,3.43,Extent,C0439792
9,10.42,More,C0205172
9,10.42,To,C1883351
9,7.61,Staff,C0851286
9,7.36,Now (temporal qualifier),C1948052
9,7.28,Weekly,C0332174
9,7.28,Testing,C0039593
9,7.19,day,C0439228
9,7.02,United States Military Commissioned Officer O5,C4521843
9,5.18,Always (frequency),C2003902
9,5.18,Finding,C0243095
9,5.18,Follow - dosing instruction imperative,C1719822
9,5.18,Receive,C1514756
9,5.18,Sector,C1708237
9,5.18,Somalia,C0037640
9,5.18,Taking medication (activity),C1290952
9,5.18,taught,C0348054
9,3.98,Drug abuse,C0013146
9,3.98,Introduces,C1292748
9,3.98,RESF1 gene,C1824356
9,3.68,Dietary Nickel,C2348274
9,3.68,Dose number:Number:Point in time:^Patient:Quantitative,C1114758
9,3.68,Family,C0015576
9,3.68,Financial compensation,C0220808
9,3.68,Vaccines,C0042210
9,3.65,Registered nurse,C0687673
9,3.63,Blood group antibody I,C0221138
9,3.63,Guidelines,C0162791
9,3.63,Nasal cavity,C0027423
9,3.59,Personal appearance,C0233426
9,3.57,Expectations,C0679138
9,3.57,Frustration,C0016770
9,3.57,One,C0205447
9,3.57,Swab specimen,C0183753
9,3.57,cocaine,C0009170
9,3.56,31,C0450355
9,3.56,Term (lexical),C1705313
9,3.55,Worker,C1306056
9,3.54,Invasive,C0205281
9,3.54,Tests (qualifier value),C0392366
9,3.53,Drug Company,C0815266
9,3.52,put - instruction imperative,C1882509
9,3.51,Subject - topic,C1706203
9,3.5,3+ Score,C2827736
9,3.5,Initial (abbreviation),C1555582
9,3.5,Rapid,C0456962
9,3.5,Resident (physician),C1320928
9,3.5,Right,C0205090
9,3.5,Then,C1883708
9,3.48,November,C3828767
9,3.46,Ambiguity,C2346729
9,3.46,Very,C0442824
9,3.45,Upon - dosing instruction fragment,C1720176
9,3.45,Work,C0043227
9,3.44,year,C0439234
9,3.39,luck,C0870824
10,5.18,GDC Treatment Outcome Terminology,C5202850
10,5.18,Iodides,C0021966
10,5.18,SAFE-Biopharma Standard,C4684764
10,5.18,saw (device),C0183089
10,5.18,utilization qualifier,C0042153
10,3.68,Anatomical Apparatus,C1947951
10,3.68,Registered nurse,C0687673
10,3.5,New,C0205314
10,3.5,Right,C0205090
10,3.47,2-mercaptoethanesulfonic acid,C0206008
11,18.74,Iodides,C0021966
11,11.17,Feelings,C1527305
11,10.42,GDC Treatment Outcome Terminology,C5202850
11,7.01,Out (direction),C0439787
11,5.18,Asleep,C0424522
11,5.18,Counsel - legal,C0341618
11,5.18,Hate,C0018616
11,5.18,Lot Number,C1115660
11,5.18,Needs,C0027552
11,5.18,Reaching,C2584321
11,5.18,Registered nurse,C0687673
11,5.18,S prime,C2603362
11,5.18,"Thinking, function",C0039869
11,3.78,Measles-rubella vaccine (live),C0457610
11,3.64,RESF1 gene,C1824356
11,3.63,Fear (Mental Process),C0015726
11,3.63,Lupus erythematosus tumidus,C0406636
11,3.63,SAFE-Biopharma Standard,C4684764
11,3.61,Bedtime (qualifier value),C0521112
11,3.59,Retained,C0333118
11,3.57,One,C0205447
11,3.56,Screaming,C0521008
11,3.55,Then,C1883708
11,3.55,god,C0681169
11,3.5,Morning,C0332170
11,3.48,Entity,C1551338
11,3.48,M NOS ANTIBODY,C0369637
11,3.48,NI+,C3869926
11,3.48,Singular,C0205171
11,3.47,Nurse Administrator,C0028652
11,3.47,T prime,C2603360
11,3.47,wait,C1610166
11,3.43,Code System Type - Internal,C1553872
11,3.43,National Drug Code Milligram,C4722265
11,3.42,Canis familiaris,C0012984
11,3.42,Malaysia,C0024552
12,120.97,Iodides,C0021966
12,16.11,Feelings,C1527305
12,15.02,per second,C0565930
12,11.33,Work,C0043227
12,11.04,Depressed mood,C0344315
12,8.67,Tryptophanase,C0041260
12,8.51,day,C0439228
12,8.47,M NOS ANTIBODY,C0369637
12,8.08,Negation,C1518422
12,7.95,Somalia,C0037640
12,6.31,Make - Instruction Imperative,C1881534
12,5.64,Venezuela,C0042469
12,5.43,Bad,C0205169
12,5.42,Automobiles,C0004381
12,5.42,bit - unit of measure,C1553019
12,5.4,My Way,C3645202
12,5.35,Malaysia,C0024552
12,5.28,Time,C0040223
12,5.26,"Examiner, Medical",C0025082
12,3.96,Along edge (qualifier value),C0205154
12,3.96,Assisted (qualifier value),C1269765
12,3.96,During,C0347984
12,3.96,Feeling tired,C0849970
12,3.96,Few minutes,C4036224
12,3.96,Handle - program access,C1708320
12,3.96,Homo sapiens,C0086418
12,3.96,Maybe,C3844350
12,3.96,Miss - Title,C2349206
12,3.96,Not sure,C3844332
12,3.96,One thing,C3843087
12,3.96,RESF1 gene,C1824356
12,3.96,Rapid,C0456962
12,3.96,Registered nurse,C0687673
12,3.96,Switch Device,C1707719
12,3.96,TNFSF13B wt Allele,C2986676
12,3.96,Usual,C3538928
12,3.96,saw (device),C0183089
12,3.96,seen,C0205397
12,3.04,Entity,C1551338
12,3.04,Push - dosing instruction imperative,C1719958
12,2.87,Self-employed,C0425092
12,2.81,Control function,C2587213
12,2.81,More,C0205172
12,2.81,Support Groups,C0036606
12,2.81,friend,C0079382
12,2.78,part of,C1292711
12,2.78,Occupations,C0028811
12,2.74,Episode of,C0332189
12,2.74,Exist,C2987476
12,2.74,lead,C0023175
12,2.74,care activity,C1947933
12,2.73,Beginning,C0439659
12,2.73,If,C0750557
12,2.73,Post,C0687676
12,2.73,seconds,C0457385
12,2.72,ADM wt Allele,C3813124
12,2.72,Availability of,C0470187
12,2.72,Persons,C0027361
12,2.72,Today (temporal qualifier),C0750526
12,2.71,Lacking,C0332268
12,2.71,One,C0205447
12,2.68,god,C0681169
12,2.66,GDC Tissue or Organ of Origin Terminology,C5206934
12,2.66,GJA1 gene,C1415068
12,2.66,National Health Insurance,C0027452
12,2.66,R prime,C2603358
12,2.64,Normal,C0205307
12,2.64,Patient need for (contextual qualifier),C0686904
12,2.63,Removed,C0849355
12,2.62,Hydranencephaly with Renal Aplasia-Dysplasia,C1856053
12,2.62,Pandemics,C1615608
12,2.62,Severe (severity modifier),C0205082
12,2.61,First (number),C0205435
12,2.61,Testing,C0039593
12,2.61,Lanugo,C0423866
12,2.6,Scientific Equipment,C2827396
13,121.03,Iodides,C0021966
13,24.54,Tryptophanase,C0041260
13,14.41,Entity,C1551338
13,11.7,Negation,C1518422
13,11.5,Time,C0040223
13,9.25,Malaysia,C0024552
13,7.11,One,C0205447
13,7.03,Pandemics,C1615608
13,6.87,Living Alone,C0439044
13,6.75,Vision,C0042789
13,4.82,Removed,C0849355
13,4.79,Ability,C0085732
13,4.73,Live - Specimen Condition,C1548795
13,4.68,Falls,C0085639
13,4.67,per year,C0439508
13,4.66,Butting,C0233535
13,4.63,Local,C0205276
13,4.58,counselor,C1561602
13,4.56,Singular,C0205171
13,3.36,Appointments,C0003629
13,3.36,Concern,C2699424
13,3.36,Couples (persons),C0010222
13,3.36,Depressed mood,C0344315
13,3.36,Employment,C0014003
13,3.36,Empty (qualifier),C1880497
13,3.36,Feelings,C1527305
13,3.36,Floor - story of building,C1547707
13,3.36,Foundation for the Accreditation of Cellular Therapy,C4522252
13,3.36,Lupus erythematosus tumidus,C0406636
13,3.36,Make - Instruction Imperative,C1881534
13,3.36,Reaching,C2584321
13,3.36,Retained,C0333118
13,3.36,Social Anxiety,C0424166
13,3.36,Taken,C1883727
13,3.36,"Thinking, function",C0039869
13,3.36,Treating,C1522326
13,3.36,Wanted,C1444647
13,2.58,Less Than,C0439092
13,2.58,Term (lexical),C1705313
13,2.39,Conflict of Interest,C0079152
13,2.39,Half,C2825407
13,2.39,Post,C0687676
13,2.36,part of,C1292711
13,2.36,Indication of (contextual qualifier),C0392360
13,2.36,Registered nurse,C0687673
13,2.33,All,C0444868
13,2.33,Borderline Personality Disorder,C0006012
13,2.33,Humanities,C0020157
13,2.33,Justice,C0022437
13,2.32,Changing job (finding),C1261323
13,2.32,Closed,C0587267
13,2.32,Condition,C0348080
13,2.32,Loneliness,C0023974
13,2.32,Relationships,C0439849
13,2.32,Type - attribute,C0332307
13,2.31,Agencies,C0237463
13,2.31,Different,C1705242
13,2.31,Difficult (qualifier value),C0332218
13,2.31,Offered,C1444648
13,2.31,Referring,C0205543
13,2.31,Work,C0043227
13,2.31,RESF1 gene,C1824356
13,2.31,Beginning,C0439659
13,2.31,Part,C0449719
13,2.31,Similarity,C2348205
13,2.3,Diagnosis,C0011900
13,2.3,Three,C0205449
13,2.3,year,C0439234
13,2.3,One thing,C3843087
13,2.3,Issue (document),C1706387
13,2.29,personal safety,C0184641
13,2.27,R prime,C2603358
13,2.26,Counseling,C0010210
13,2.26,Same,C0445247
13,2.25,Due to,C0678226
13,2.25,Only a Little,C3889124
13,2.24,promise,C1555307
13,2.24,Behavior Therapy,C0004933
13,2.23,ARID3B gene,C1422585
13,2.23,Frequency of Pain Question,C0518090
13,2.23,Substance abuse problem,C0740858
13,2.23,Follow-Up Report,C1704685
13,2.23,"Examiner, Medical",C0025082
13,2.23,Take,C1515187
13,2.22,Doxorubicin/Docetaxel Regimen,C0392970
13,2.22,Somewhat,C2984079
13,2.22,Upon - dosing instruction fragment,C1720176
13,2.22,dialectics,C0870414
13,2.22,Male external urethral sphincter,C0815353
13,2.22,Neither Case or Control Status,C3274651
13,2.22,Abnormal behavior,C0233514
13,2.22,Month of May,C3812381
13,2.22,Changing,C0392747
13,2.22,Very,C0442824
13,2.22,Anxiety,C0003467
13,2.22,day,C0439228
14,11.79,Iodides,C0021966
14,11.01,Masks,C0024861
14,10.42,Tryptophanase,C0041260
14,10.42,best (quality),C1522427
14,7.45,GORAB gene,C1822658
14,7.16,Reusable,C3841253
14,7.16,Wash (cleansing action),C0441648
14,5.18,Like,C0870814
14,5.18,Multi-Angle Laser Light Scattering,C1881921
14,5.18,Options,C1518601
14,5.18,Park (environment),C0562547
14,5.18,Recommendation,C0034866
14,5.18,Registered nurse,C0687673
14,5.18,Surgical face mask,C0181758
14,5.18,TNFSF13B wt Allele,C2986676
14,5.18,disposable,C0725865
14,5.18,second (number),C0205436
14,3.98,SAFE-Biopharma Standard,C4684764
14,3.98,Show,C1547282
14,3.85,Adult Children,C0683572
14,3.82,expense,C0680864
14,3.55,One,C0205447
14,3.5,Negation,C1518422
14,3.5,Pattern ERG N95,C0429406
14,3.5,Right,C0205090
14,3.48,New,C0205314
14,3.46,Autistic Disorder,C0004352
14,3.42,Good,C0205170
14,3.42,research,C0035168
15,18.65,Blood group antibody I,C0221138
15,15.7,To,C1883351
15,11.58,Negation,C1518422
15,8.28,Creation,C1706214
15,7.24,Now (temporal qualifier),C1948052
15,7.2,Speaking (activity),C0234856
15,7.16,friend,C0079382
15,7.11,Right,C0205090
15,7.03,Herero language,C0574443
15,6.99,Malaysia,C0024552
15,5.18,Exclude,C0332196
15,5.18,Friendship,C0178647
15,5.18,Over (spatial),C0205136
15,5.18,Recent,C0332185
15,5.18,Send (transmission),C1519246
15,5.18,"Thinking, function",C0039869
15,5.18,Used by,C1273517
15,5.18,therapeutic suggestion,C0038659
15,3.68,No Information Available,C1546437
15,3.68,Park (environment),C0562547
15,3.67,Drive - finding,C1287104
15,3.63,Few,C0205388
15,3.63,Government,C0018104
15,3.63,WHO Temperature/Humidity Storage Condition,C3272598
15,3.63,year,C0439234
15,3.59,Abstract thinking ability,C0459920
15,3.57,Registered nurse,C0687673
15,3.57,Space - property,C1883067
15,3.57,bit - unit of measure,C1553019
15,3.56,Else,C3842296
15,3.56,protest,C0681272
15,3.54,Immunogenicity Specimen Assessments Domain,C3812801
15,3.54,Life,C0376558
15,3.54,Theory,C0871935
15,3.54,Helpful,C3898897
15,3.5,Healthy,C3898900
15,3.5,best (quality),C1522427
15,3.49,4 Hours,C1292426
15,3.48,Article,C1706852
15,3.48,Very,C0442824
15,3.44,Some (qualifier value),C0205392
15,3.44,Ultrasound Study File,C3889164
15,3.44,W stress,C1718621
15,3.43,mental health,C0025353
16,10.42,GDC Treatment Outcome Terminology,C5202850
16,5.18,Blood group antibody I,C0221138
16,5.18,Greatly,C3840786
16,5.18,Hospital admission,C0184666
16,5.18,Negation,C1518422
16,5.18,Response process,C0871261
16,5.18,"Support, device",C0183683
16,5.18,Usual,C3538928
16,5.18,put - instruction imperative,C1882509
16,3.75,Registered nurse,C0687673
16,3.68,No Information Available,C1546437
16,3.68,Removed,C0849355
16,3.63,Person Observer,C2347489
16,3.56,ADM wt Allele,C3813124
16,3.56,Entity,C1551338
16,3.56,Needs,C0027552
16,3.56,Sharing (Social Behavior),C0237876
16,3.5,Rabbi,C0684010
16,3.48,Private Room,C0033175
16,3.43,DIAPH3 wt Allele,C4321249
16,3.43,Easy,C0332219
16,3.43,"Examiner, Medical",C0025082
17,5.18,Registered nurse,C0687673
17,5.18,"Thinking, function",C0039869
17,3.5,Right,C0205090
18,27.2,Malaysia,C0024552
18,24.02,Tryptophanase,C0041260
18,23.37,Iodides,C0021966
18,18.74,Offspring,C0680063
18,18.42,Street address,C1301826
18,15.79,Does play,C0600138
18,15.25,KIF22 gene,C1416696
18,14.56,Negation,C1518422
18,14.52,Park (environment),C0562547
18,10.44,Neighbor,C1553702
18,10.42,Like,C0870814
18,8.28,Take,C1515187
18,7.3,Upon - dosing instruction fragment,C1720176
18,7.13,Foot,C0016504
18,7.11,Out (direction),C0439787
18,6.95,Village environment,C0562518
18,5.18,ADM wt Allele,C3813124
18,5.18,Bicycle,C0005375
18,5.18,Door (physical object),C0557698
18,5.18,Hearing,C0018767
18,5.18,Hockey,C0019828
18,5.18,Home environment,C0442519
18,5.18,Immunogenicity Specimen Assessments Domain,C3812801
18,5.18,Love,C0024028
18,5.18,Needs,C0027552
18,5.18,Persons,C0027361
18,5.18,Practice Experience,C0237607
18,5.18,Time,C0040223
18,5.18,Together,C1883357
18,3.98,Lupus erythematosus tumidus,C0406636
18,3.98,Muscle Cramp,C0026821
18,3.68,Registered nurse,C0687673
18,3.68,Risk,C0035647
18,3.68,Strangers,C2371722
18,3.63,Advice,C0150600
18,3.63,Walking (activity),C0080331
18,3.63,day,C0439228
18,3.61,In addition to,C0332287
18,3.59,Finding,C0243095
18,3.57,Live - Specimen Condition,C1548795
18,3.57,Soccer,C0037393
18,3.57,Sometimes,C1998882
18,3.57,Weekend,C0680190
18,3.56,Transient hypogammaglobulinemia of infancy,C0272238
18,3.53,Distance,C0012751
18,3.51,little i NOS,C1440921
18,3.5,All,C0444868
18,3.5,GDC Tissue or Organ of Origin Terminology,C5206934
18,3.5,Internal,C0205102
18,3.5,More,C0205172
18,3.5,Right,C0205090
18,3.5,Somalia,C0037640
18,3.5,Taken,C1883727
18,3.48,Insight,C0233820
18,3.46,Else,C3842296
18,3.46,Etc.,C1548556
18,3.46,Physical assessment findings,C1509143
18,3.46,best (quality),C1522427
18,3.46,Always (frequency),C2003902
18,3.45,Family,C0015576
18,3.45,WHO Temperature/Humidity Storage Condition,C3272598
18,3.45,Singular,C0205171
18,3.44,Physical Examination Time,C2826761
18,3.42,10%,C3842590
18,3.42,Object Property,C1882134
19,10.89,Iodides,C0021966
19,10.42,Finding,C0243095
19,10.42,Tryptophanase,C0041260
19,7.53,Availability of,C0470187
19,7.18,Type - attribute,C0332307
19,7.16,Harm Reduction,C0679771
19,7.02,Services,C0557854
19,7.0,Addictive Behavior,C0085281
19,5.18,Call (Instruction),C1947967
19,5.18,Closed,C0587267
19,5.18,Foundation for the Accreditation of Cellular Therapy,C4522252
19,5.18,Has difficulty doing (qualifier value),C1299586
19,5.18,Out (direction),C0439787
19,5.18,seen,C0205397
19,3.98,Entity,C1551338
19,3.98,Providing (action),C1999230
19,3.68,News [Publication Type],C0282425
19,3.63,Experimental Finding,C2825141
19,3.63,Kit Dosing Unit,C1690540
19,3.61,Registered nurse,C0687673
19,3.59,Reporting,C0700287
19,3.56,Changing,C0392747
19,3.55,Numerous,C0439064
19,3.48,Professional Organization or Group,C1522486
19,3.48,Program,C2728259
19,3.48,Right,C0205090
19,3.47,treatment program,C0679841
19,3.47,Moving,C0560560
19,3.44,Information,C1533716
19,3.44,Persons,C0027361
19,3.44,This (eukaryote),C1080058
19,3.44,Web Site,C2349146
19,3.43,Approximate,C0332232
19,3.43,Programs - Publication Format,C0376691
20,39.61,Iodides,C0021966
20,21.36,Tryptophanase,C0041260
20,10.86,Pharmaceutical Preparations,C0013227
20,10.42,Coping Behavior,C0009967
20,7.7,Routine,C0205547
20,7.36,Somalia,C0037640
20,7.31,Able (finding),C1299581
20,7.23,Anaplastic Sarcoma of the Kidney,C4722276
20,6.98,Back,C0004600
20,5.18,Advice,C0150600
20,5.18,Approximate,C0332232
20,5.18,Assisted (qualifier value),C1269765
20,5.18,Beginning,C0439659
20,5.18,Family,C0015576
20,5.18,Friends - (Religious Affiliation),C1697767
20,5.18,Hyperphagia,C0020505
20,5.18,Registered nurse,C0687673
20,5.18,Since,C1711239
20,5.18,TNFSF13B wt Allele,C2986676
20,5.18,"Thinking, function",C0039869
20,5.18,Work,C0043227
20,5.18,per year,C0439508
20,3.98,Exercise Pain Management,C1522704
20,3.68,Hardness,C0018599
20,3.68,National Health Insurance,C0027452
20,3.68,day,C0439228
20,3.64,This (eukaryote),C1080058
20,3.59,Greater,C1704243
20,3.59,March (month),C3829202
20,3.59,"Physicians, Family",C1704221
20,3.59,Started,C1272689
20,3.57,Malaysia,C0024552
20,3.57,Mental Depression,C0011570
20,3.56,Goes <invertebrate>,C1947959
20,3.54,Good,C0205170
20,3.54,Management procedure,C1273870
20,3.54,year,C0439234
20,3.5,Bad,C0205169
20,3.5,Daily,C0332173
20,3.5,Right,C0205090
20,3.48,Anxiety,C0003467
20,3.48,Doctor - Title,C2348314
20,3.44,RESF1 gene,C1824356
20,3.43,List,C0745732
20,3.43,Negation,C1518422
20,3.43,New,C0205314
21,21.36,Iodides,C0021966
21,15.79,Tryptophanase,C0041260
21,11.54,Breath,C0225386
21,11.18,Inspiration function,C0004048
21,10.77,<50,C3843766
21,10.7,seconds,C0457385
21,10.42,Assisted (qualifier value),C1269765
21,10.42,Knowledge,C0376554
21,10.42,Relaxed,C0542193
21,10.42,Sharing (Social Behavior),C0237876
21,7.19,Right,C0205090
21,7.18,Entity,C1551338
21,5.18,0%,C3842591
21,5.18,1+ Score,C2827734
